season,retain_crop,gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,pct_reduction_n_surplus,baseline_retained_area,optimized_retained_area,realized_retained_share_pct,realized_staple_replacement_pct,solve_status,use_historical_caps,retention_level,cap_floor_repairs
kharif,rice,0.0,100.0,5287506520.162543,3945707318.108503,25.376785767307048,40085352.75,21485531.295689173,53.59945671349786,46.40054328650214,Optimal,False,state,5
kharif,rice,0.1,90.0,5287506520.162543,3952615799.3200703,25.246129073358325,40085352.75,21770435.242379826,54.310199982909786,45.68980001709022,Optimal,False,state,5
kharif,rice,0.2,80.0,5287506520.162543,3965828709.582836,24.99623982570668,40085352.75,22399401.962379824,55.87926867471516,44.12073132528483,Optimal,False,state,5
kharif,rice,0.3,70.0,5287506520.162543,3995950990.1829224,24.426552006217047,40085352.75,23503201.41370022,58.63289157084995,41.36710842915005,Optimal,False,state,5
kharif,rice,0.4,60.0,5287506520.162543,4032442759.309957,23.736401195284092,40085352.75,24618947.81537151,61.41631824699736,38.58368175300264,Optimal,False,state,5
kharif,rice,0.5,50.0,5287506520.162543,4082494852.99411,22.789790661693406,40085352.75,26358694.235371508,65.75642329945944,34.24357670054055,Optimal,False,state,5
kharif,rice,0.6,40.0,5287506520.162543,4145610638.9005213,21.5961129675717,40085352.75,28369289.130522396,70.77220776240367,29.227792237596322,Optimal,False,state,5
kharif,rice,0.7,30.000000000000004,5287506520.162543,4229928341.4295807,20.00145389325121,40085352.75,30959480.50333795,77.23389811840424,22.766101881595766,Optimal,False,state,5
kharif,rice,0.8,19.999999999999996,5287506520.162543,4341417947.284961,17.892906028009943,40085352.75,33768801.02333795,84.24224487668492,15.757755123315079,Optimal,False,state,5
kharif,rice,0.9,9.999999999999998,5287506520.162543,4479149805.250437,15.288051406265817,40085352.75,36967834.29949061,92.22279901101933,7.777200988980675,Optimal,False,state,5
kharif,rice,1.0,0.0,5287506520.162543,4660525404.763998,11.857784250623888,40085352.75,40426432.89478093,100.85088472816527,-0.8508847281652683,Optimal,False,state,5
