season,retain_crop,gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,pct_reduction_n_surplus,baseline_retained_area,optimized_retained_area,realized_retained_share_pct,realized_staple_replacement_pct,solve_status,use_historical_caps,retention_level,cap_floor_repairs
rabi,wheat,0.0,100.0,2997829060.776767,2679280543.316712,10.625973362787931,30731432.5,28631313.933809657,93.16621974523855,6.833780254761452,Optimal,False,district,8
rabi,wheat,0.1,90.0,2997829060.776767,2689352348.1396604,10.290003411908252,30731432.5,28900225.05768917,94.04125583045688,5.958744169543117,Optimal,False,district,8
rabi,wheat,0.2,80.0,2997829060.776767,2699523291.027325,9.950726465776127,30731432.5,29211882.900700577,95.05538962656745,4.944610373432554,Optimal,False,district,8
rabi,wheat,0.3,70.0,2997829060.776767,2710043391.9834447,9.599802489030312,30731432.5,29543129.203637596,96.13326421941963,3.8667357805803677,Optimal,False,district,8
rabi,wheat,0.4,60.0,2997829060.776767,2721344876.792469,9.222813522017763,30731432.5,29851425.70282427,97.13646021162296,2.8635397883770355,Optimal,False,district,8
rabi,wheat,0.5,50.0,2997829060.776767,2733593837.949522,8.814219138925115,30731432.5,30122458.966799993,98.01840173509645,1.9815982649035542,Optimal,False,district,8
rabi,wheat,0.6,40.0,2997829060.776767,2746808386.061335,8.373415215689109,30731432.5,30429342.515562866,99.01699999036123,0.9830000096387765,Optimal,False,district,8
rabi,wheat,0.7,30.000000000000004,2997829060.776767,2760893160.705146,7.903582734975173,30731432.5,30708384.24930198,99.92500105324405,0.07499894675596011,Optimal,False,district,8
rabi,wheat,0.8,19.999999999999996,2997829060.776767,2775368601.309339,7.420718625290331,30731432.5,30964682.989926934,100.75899647674066,-0.7589964767406604,Optimal,False,district,8
rabi,wheat,0.9,9.999999999999998,2997829060.776767,2791058157.76742,6.897354679581717,30731432.5,31241109.63275867,101.65848804073377,-1.6584880407337652,Optimal,False,district,8
rabi,wheat,1.0,0.0,2997829060.776767,2810878690.720511,6.236191799669029,30731432.5,31602222.95319687,102.83354982946815,-2.833549829468146,Optimal,False,district,8
