season,State,District,Crop,Original Area (Hectare),Optimized Area (Hectare)
kharif,andaman and nicobar,nicobars,rice,1.0,1.0
kharif,andaman and nicobar,north and middle andaman,rice,5099.8,5099.8
kharif,andaman and nicobar,south andamans,rice,239.75,239.75
kharif,andhra pradesh,anantapur,bajra,5261.0,5261.0
kharif,andhra pradesh,anantapur,jowar,18362.0,0.0
kharif,andhra pradesh,anantapur,maize,19044.0,27087.0
kharif,andhra pradesh,anantapur,ragi,1641.0,2420.0
kharif,andhra pradesh,anantapur,rice,12293.0,21833.0
kharif,andhra pradesh,chittoor,bajra,2104.0,0.0
kharif,andhra pradesh,chittoor,jowar,160.0,0.0
kharif,andhra pradesh,chittoor,maize,1551.0,2693.0
kharif,andhra pradesh,chittoor,ragi,5904.0,0.0
kharif,andhra pradesh,chittoor,rice,15061.0,22087.0
kharif,andhra pradesh,east godavari,bajra,61.0,0.0
kharif,andhra pradesh,east godavari,jowar,162.0,0.0
kharif,andhra pradesh,east godavari,maize,0.0,0.0
kharif,andhra pradesh,east godavari,ragi,295.0,0.0
kharif,andhra pradesh,east godavari,rice,225683.0,226201.0
kharif,andhra pradesh,guntur,bajra,1273.0,0.0
kharif,andhra pradesh,guntur,jowar,73.0,0.0
kharif,andhra pradesh,guntur,maize,741.0,0.0
kharif,andhra pradesh,guntur,ragi,0.0,0.0
kharif,andhra pradesh,guntur,rice,183828.0,185915.0
kharif,andhra pradesh,kadapa,bajra,5842.0,5842.0
kharif,andhra pradesh,kadapa,jowar,3973.0,0.0
kharif,andhra pradesh,kadapa,maize,918.0,1125.0
kharif,andhra pradesh,kadapa,ragi,16.0,28.0
kharif,andhra pradesh,kadapa,rice,30717.0,34471.0
kharif,andhra pradesh,krishna,bajra,0.0,0.0
kharif,andhra pradesh,krishna,jowar,16.0,0.0
kharif,andhra pradesh,krishna,maize,5288.0,0.0
kharif,andhra pradesh,krishna,rice,235984.0,241288.0
kharif,andhra pradesh,kurnool,bajra,7885.0,12000.0
kharif,andhra pradesh,kurnool,jowar,5940.0,17060.0
kharif,andhra pradesh,kurnool,maize,39752.0,40845.0
kharif,andhra pradesh,kurnool,ragi,0.0,0.0
kharif,andhra pradesh,kurnool,rice,59592.0,43264.0
kharif,andhra pradesh,nellore,rice,21184.0,21184.0
kharif,andhra pradesh,prakasam,bajra,17246.0,26233.064915868843
kharif,andhra pradesh,prakasam,jowar,610.0,0.0
kharif,andhra pradesh,prakasam,maize,1727.0,3012.0
kharif,andhra pradesh,prakasam,ragi,31.0,0.0
kharif,andhra pradesh,prakasam,rice,27547.0,17915.935084131157
kharif,andhra pradesh,spsr nellore,bajra,1802.0,1802.0
kharif,andhra pradesh,spsr nellore,jowar,10.0,0.0
kharif,andhra pradesh,spsr nellore,maize,82.0,151.0
kharif,andhra pradesh,spsr nellore,ragi,59.0,0.0
kharif,andhra pradesh,spsr nellore,rice,0.0,0.0
kharif,andhra pradesh,srikakulam,bajra,87.0,1184.0
kharif,andhra pradesh,srikakulam,jowar,16.0,0.0
kharif,andhra pradesh,srikakulam,maize,11430.0,15975.0
kharif,andhra pradesh,srikakulam,ragi,154.0,0.0
kharif,andhra pradesh,srikakulam,rice,210682.0,205210.0
kharif,andhra pradesh,visakhapatanam,bajra,1696.0,5978.0
kharif,andhra pradesh,visakhapatanam,jowar,285.0,0.0
kharif,andhra pradesh,visakhapatanam,maize,5805.0,0.0
kharif,andhra pradesh,visakhapatanam,ragi,16731.0,18539.0
kharif,andhra pradesh,visakhapatanam,rice,0.0,0.0
kharif,andhra pradesh,visakhapatnam,ragi,0.0,22665.0
kharif,andhra pradesh,visakhapatnam,rice,104922.0,82257.0
kharif,andhra pradesh,vizianagaram,bajra,110.0,0.0
kharif,andhra pradesh,vizianagaram,jowar,54.0,0.0
kharif,andhra pradesh,vizianagaram,maize,18027.0,18600.0
kharif,andhra pradesh,vizianagaram,ragi,1809.0,0.0
kharif,andhra pradesh,vizianagaram,rice,122675.0,124075.0
kharif,andhra pradesh,west godavari,jowar,16.0,0.0
kharif,andhra pradesh,west godavari,maize,2911.0,3171.0
kharif,andhra pradesh,west godavari,ragi,0.0,0.0
kharif,andhra pradesh,west godavari,rice,226760.0,226516.0
kharif,arunachal pradesh,anjaw,maize,1435.0,3995.0
kharif,arunachal pradesh,anjaw,rice,3703.0,1143.0
kharif,arunachal pradesh,changlang,maize,1090.0,1103.0
kharif,arunachal pradesh,changlang,rice,9423.0,9410.0
kharif,arunachal pradesh,dibang valley,maize,1973.0,1986.0
kharif,arunachal pradesh,dibang valley,rice,1807.0,1794.0
kharif,arunachal pradesh,east kameng,maize,2845.0,2854.0
kharif,arunachal pradesh,east kameng,rice,9095.0,9086.0
kharif,arunachal pradesh,east siang,maize,3116.0,4252.0
kharif,arunachal pradesh,east siang,rice,11791.0,10655.0
kharif,arunachal pradesh,kra daadi,maize,306.0,319.0
kharif,arunachal pradesh,kra daadi,rice,570.0,557.0
kharif,arunachal pradesh,kurung kumey,maize,234.0,570.0
kharif,arunachal pradesh,kurung kumey,rice,601.0,265.0
kharif,arunachal pradesh,lohit,maize,4256.0,7276.768149517004
kharif,arunachal pradesh,lohit,rice,4607.0,1586.2318504829964
kharif,arunachal pradesh,longding,maize,1706.0,1719.0
kharif,arunachal pradesh,longding,rice,3032.0,3019.0
kharif,arunachal pradesh,lower dibang valley,maize,8409.0,8428.0
kharif,arunachal pradesh,lower dibang valley,rice,14688.0,14669.0
kharif,arunachal pradesh,lower subansiri,maize,860.0,860.0
kharif,arunachal pradesh,lower subansiri,rice,8115.0,8115.0
kharif,arunachal pradesh,namsai,maize,6334.0,6296.0
kharif,arunachal pradesh,namsai,rice,8669.0,8707.0
kharif,arunachal pradesh,papum pare,maize,2543.0,2556.0
kharif,arunachal pradesh,papum pare,rice,12073.0,12060.0
kharif,arunachal pradesh,siang,maize,2226.0,2244.0
kharif,arunachal pradesh,siang,rice,7649.0,7631.0
kharif,arunachal pradesh,tawang,maize,910.0,923.0
kharif,arunachal pradesh,tawang,rice,883.0,870.0
kharif,arunachal pradesh,tirap,maize,3805.0,3818.0
kharif,arunachal pradesh,tirap,rice,3048.0,3035.0
kharif,arunachal pradesh,upper siang,maize,1745.0,1758.0
kharif,arunachal pradesh,upper siang,rice,6716.0,6703.0
kharif,arunachal pradesh,upper subansiri,maize,1284.0,1284.0
kharif,arunachal pradesh,upper subansiri,rice,5169.0,5169.0
kharif,arunachal pradesh,west kameng,maize,3071.0,3084.0
kharif,arunachal pradesh,west kameng,rice,930.0,917.0
kharif,arunachal pradesh,west siang,maize,2649.0,4415.0
kharif,arunachal pradesh,west siang,rice,19431.0,17665.0
kharif,assam,baksa,maize,410.0,0.0
kharif,assam,baksa,rice,96150.0,96560.0
kharif,assam,barpeta,maize,169.0,0.0
kharif,assam,barpeta,rice,77820.0,77989.0
kharif,assam,bongaigaon,maize,1805.0,0.0
kharif,assam,bongaigaon,rice,39234.0,41039.0
kharif,assam,cachar,maize,112.0,108.0
kharif,assam,cachar,rice,102181.0,102185.0
kharif,assam,chirang,maize,363.0,585.0
kharif,assam,chirang,rice,40281.0,40059.0
kharif,assam,darrang,maize,5393.0,7157.385493169115
kharif,assam,darrang,rice,55064.0,53299.61450683088
kharif,assam,dhemaji,maize,353.0,355.0
kharif,assam,dhemaji,rice,65320.0,65318.0
kharif,assam,dhubri,maize,1192.0,0.0
kharif,assam,dhubri,rice,36772.0,37964.0
kharif,assam,dibrugarh,maize,116.0,142.0
kharif,assam,dibrugarh,rice,77730.0,77704.0
kharif,assam,dima hasao,maize,3454.0,1052.0
kharif,assam,dima hasao,rice,13791.0,16193.0
kharif,assam,goalpara,maize,1027.0,0.0
kharif,assam,goalpara,rice,55905.0,56932.0
kharif,assam,golaghat,maize,176.0,0.0
kharif,assam,golaghat,rice,117676.0,117852.0
kharif,assam,hailakandi,maize,16.0,0.0
kharif,assam,hailakandi,rice,42970.0,42986.0
kharif,assam,jorhat,maize,133.0,133.0
kharif,assam,jorhat,rice,96642.0,96642.0
kharif,assam,kamrup,maize,230.0,0.0
kharif,assam,kamrup,rice,85417.0,85647.0
kharif,assam,kamrup metro,maize,71.0,71.0
kharif,assam,karbi anglong,maize,10480.0,7345.0
kharif,assam,karbi anglong,rice,128687.0,131822.0
kharif,assam,karimganj,maize,20.0,0.0
kharif,assam,karimganj,rice,59309.0,59329.0
kharif,assam,kokrajhar,maize,971.0,0.0
kharif,assam,kokrajhar,rice,82906.0,83877.0
kharif,assam,lakhimpur,maize,109.0,350.0
kharif,assam,lakhimpur,rice,106000.0,105759.0
kharif,assam,marigaon,maize,470.0,470.0
kharif,assam,morigaon,rice,46123.0,46123.0
kharif,assam,nagaon,maize,639.0,0.0
kharif,assam,nagaon,rice,152539.0,153178.0
kharif,assam,nalbari,maize,550.0,0.0
kharif,assam,nalbari,rice,64785.0,65335.0
kharif,assam,sivasagar,maize,57.0,0.0
kharif,assam,sivasagar,rice,102490.0,102547.0
kharif,assam,sonitpur,maize,1555.0,0.0
kharif,assam,sonitpur,rice,142788.0,144343.0
kharif,assam,tinsukia,maize,1208.0,0.0
kharif,assam,tinsukia,rice,62629.0,63837.0
kharif,assam,udalguri,maize,458.0,0.0
kharif,assam,udalguri,rice,82100.0,82558.0
kharif,bihar,araria,maize,3383.0,3001.0
kharif,bihar,araria,ragi,0.0,382.0
kharif,bihar,araria,rice,149016.0,149016.0
kharif,bihar,arwal,maize,150.0,187.0
kharif,bihar,arwal,ragi,37.0,0.0
kharif,bihar,arwal,rice,42519.0,42519.0
kharif,bihar,aurangabad,maize,228.0,0.0
kharif,bihar,aurangabad,ragi,13.0,0.0
kharif,bihar,aurangabad,rice,178069.0,178310.0
kharif,bihar,banka,maize,6184.0,0.0
kharif,bihar,banka,rice,91762.0,97946.0
kharif,bihar,begusarai,bajra,0.0,10.0
kharif,bihar,begusarai,jowar,91.0,109.0
kharif,bihar,begusarai,maize,22924.0,12568.0
kharif,bihar,begusarai,ragi,12.0,47.0
kharif,bihar,begusarai,rice,18684.0,28977.0
kharif,bihar,bhagalpur,bajra,10.0,14.0
kharif,bihar,bhagalpur,jowar,8.0,10.0
kharif,bihar,bhagalpur,maize,16900.0,10423.0
kharif,bihar,bhagalpur,rice,33691.0,40162.0
kharif,bihar,bhojpur,bajra,975.0,1338.0
kharif,bihar,bhojpur,jowar,608.0,833.0
kharif,bihar,bhojpur,maize,1723.0,5669.0
kharif,bihar,bhojpur,ragi,1.0,0.0
kharif,bihar,bhojpur,rice,97105.0,92572.0
kharif,bihar,buxar,bajra,3299.0,3371.0
kharif,bihar,buxar,jowar,642.0,1650.0
kharif,bihar,buxar,maize,1099.0,2399.0
kharif,bihar,buxar,rice,87481.0,85101.0
kharif,bihar,darbhanga,jowar,0.0,111.0
kharif,bihar,darbhanga,maize,1546.0,0.0
kharif,bihar,darbhanga,ragi,585.0,0.0
kharif,bihar,darbhanga,rice,76855.0,78875.0
kharif,bihar,gaya,bajra,0.0,18.0
kharif,bihar,gaya,jowar,0.0,469.0
kharif,bihar,gaya,maize,2061.0,0.0
kharif,bihar,gaya,ragi,91.0,0.0
kharif,bihar,gaya,rice,100016.0,101681.0
kharif,bihar,gopalganj,bajra,0.0,96.0
kharif,bihar,gopalganj,maize,5084.0,0.0
kharif,bihar,gopalganj,ragi,15.0,0.0
kharif,bihar,gopalganj,rice,83241.0,88244.0
kharif,bihar,jamui,maize,2105.0,3191.0
kharif,bihar,jamui,rice,65798.0,64712.0
kharif,bihar,jehanabad,maize,156.0,1115.0
kharif,bihar,jehanabad,ragi,17.0,0.0
kharif,bihar,jehanabad,rice,35531.0,34589.0
kharif,bihar,kaimur,rice,117434.0,117434.0
kharif,bihar,kaimur (bhabua),maize,119.0,0.0
kharif,bihar,kaimur (bhabua),ragi,0.0,0.0
kharif,bihar,kaimur (bhabua),rice,0.0,119.0
kharif,bihar,katihar,bajra,0.0,77.0
kharif,bihar,katihar,maize,14832.0,14832.0
kharif,bihar,katihar,rice,27902.0,27825.0
kharif,bihar,khagaria,jowar,0.0,17.0
kharif,bihar,khagaria,maize,17946.0,11948.0
kharif,bihar,khagaria,ragi,91.0,91.0
kharif,bihar,khagaria,rice,18540.0,24521.0
kharif,bihar,kishanganj,maize,368.0,532.0
kharif,bihar,kishanganj,ragi,113.0,184.0
kharif,bihar,kishanganj,rice,65204.0,64969.0
kharif,bihar,lakhisarai,maize,2474.0,0.0
kharif,bihar,lakhisarai,rice,31680.0,34154.0
kharif,bihar,madhepura,bajra,0.0,12.0
kharif,bihar,madhepura,maize,6033.0,8751.0
kharif,bihar,madhepura,ragi,67.0,0.0
kharif,bihar,madhepura,rice,70413.0,67750.0
kharif,bihar,madhubani,jowar,0.0,83.0
kharif,bihar,madhubani,maize,48.0,0.0
kharif,bihar,madhubani,ragi,69.0,0.0
kharif,bihar,madhubani,rice,197857.0,197891.0
kharif,bihar,munger,maize,771.0,0.0
kharif,bihar,munger,ragi,0.0,28.0
kharif,bihar,munger,rice,26914.0,27657.0
kharif,bihar,muzaffarpur,maize,12245.0,0.0
kharif,bihar,muzaffarpur,ragi,1.0,0.0
kharif,bihar,muzaffarpur,rice,122744.0,134990.0
kharif,bihar,nalanda,maize,1930.0,4070.0
kharif,bihar,nalanda,ragi,1.0,0.0
kharif,bihar,nalanda,rice,119782.0,117643.0
kharif,bihar,nawada,bajra,0.0,155.0
kharif,bihar,nawada,jowar,0.0,462.0
kharif,bihar,nawada,maize,826.0,1817.0
kharif,bihar,nawada,ragi,90.0,0.0
kharif,bihar,nawada,rice,77048.0,75530.0
kharif,bihar,pashchim champaran,bajra,0.0,57.0
kharif,bihar,pashchim champaran,jowar,0.0,2.0
kharif,bihar,pashchim champaran,maize,934.0,0.0
kharif,bihar,pashchim champaran,ragi,2.0,0.0
kharif,bihar,pashchim champaran,rice,140276.0,141153.0
kharif,bihar,patna,bajra,14.0,0.0
kharif,bihar,patna,jowar,9.0,0.0
kharif,bihar,patna,maize,3418.0,6191.0
kharif,bihar,patna,ragi,0.0,72.0
kharif,bihar,patna,rice,72103.0,69281.0
kharif,bihar,purbi champaran,bajra,0.0,2.0
kharif,bihar,purbi champaran,maize,38281.0,43626.0
kharif,bihar,purbi champaran,ragi,0.0,36.0
kharif,bihar,purbi champaran,rice,188947.0,183564.0
kharif,bihar,purnia,maize,5563.0,222.0
kharif,bihar,purnia,rice,105508.0,110849.0
kharif,bihar,rohtas,bajra,0.0,7.0
kharif,bihar,rohtas,jowar,0.0,6.0
kharif,bihar,rohtas,maize,74.0,238.0
kharif,bihar,rohtas,ragi,0.0,2.0
kharif,bihar,rohtas,rice,190723.0,190544.0
kharif,bihar,saharsa,jowar,0.0,17.0
kharif,bihar,saharsa,maize,0.0,10096.0
kharif,bihar,saharsa,ragi,447.0,882.0
kharif,bihar,saharsa,rice,66699.0,56151.0
kharif,bihar,samastipur,bajra,0.0,4.0
kharif,bihar,samastipur,jowar,0.0,140.0
kharif,bihar,samastipur,maize,17182.0,17868.0
kharif,bihar,samastipur,ragi,1.0,158.0
kharif,bihar,samastipur,rice,94961.0,93974.0
kharif,bihar,saran,bajra,0.0,5.0
kharif,bihar,saran,jowar,0.0,221.0
kharif,bihar,saran,maize,16061.0,17843.0
kharif,bihar,saran,ragi,392.0,670.0
