season,State,baseline_calories,relaxed_calorie_target,optimized_calories,calorie_gap,calorie_gap_vs_relaxed_target,baseline_income,relaxed_income_target,optimized_income,income_gap,income_gap_vs_relaxed_target
kharif,andaman and nicobar,39979298401.69207,39979298361.71277,39979298401.69207,0.0,39.97930145263672,-2337361.578791718,-2337361.5811290797,-2337361.578791718,0.0,0.0023373616859316826
kharif,andhra pradesh,19797443372526.32,19797443352728.875,19797443352728.88,-19797.44140625,0.00390625,3931148787.1680126,3931148783.2368636,4153095369.3667355,221946582.19872284,221946586.12987185
kharif,arunachal pradesh,1094745125554.6079,1094745124459.8628,1094745124459.8627,-1094.7452392578125,-0.0001220703125,-6586061.4564487375,-6586061.463034799,4585825.845265863,11171887.301714601,11171887.308300663
kharif,assam,14916404330122.54,14916404315206.135,14916404315206.137,-14916.40234375,0.001953125,5840902582.58239,5840902576.7414875,5864244315.275113,23341732.692723274,23341738.533625603
kharif,bihar,30371581779048.496,30371581748676.914,30417230851450.285,45649072401.78906,45649102773.37109,26098833694.274406,26098833668.17557,26098833668.175568,-26.098838806152344,-3.814697265625e-06
kharif,chandigarh,195800000.0,195799999.8042,195799999.8042,-0.19580000638961792,0.0,-11447.309368191634,-11447.309379638944,-11447.309356744325,1.1447309589129873e-05,2.2894619178259745e-05
kharif,chhattisgarh,21412861919044.387,21412861897631.523,21412861897631.53,-21412.85546875,0.0078125,-1626642765.5162117,-1626642767.1428545,-1626642767.1428542,-1.6266424655914307,2.384185791015625e-07
kharif,dadra and nagar haveli,107506719987.49779,107506719879.99107,107620773940.3543,114053952.85650635,114054060.36322021,-28450468.98130441,-28450469.00975488,-28450469.00975488,-0.02845047041773796,0.0
kharif,gujarat,9058469019610.598,9058469010552.129,9058469010552.13,-9058.466796875,0.001953125,6355682753.348295,6355682746.992613,6355682746.992608,-6.355687141418457,-4.76837158203125e-06
kharif,haryana,20293045999693.883,20293045979400.836,20293045979400.83,-20293.0546875,-0.0078125,4789965255.877543,4789965251.087578,4789965251.087576,-4.7899675369262695,-1.9073486328125e-06
kharif,himachal pradesh,2847003100009.545,2847003097162.542,2850496714423.5923,3493614414.0473633,3493617261.050293,23568037.719670735,23568037.696102697,23568037.696102712,-0.02356802299618721,1.4901161193847656e-08
kharif,jammu and kashmir,4257155551611.9146,4257155547354.759,4257155547354.76,-4257.15478515625,0.0009765625,157839410.85583785,157839410.69799843,175375735.10288024,17536324.247042388,17536324.404881805
kharif,jharkhand,14218054110053.516,14218054095835.46,14218054095835.46,-14218.0546875,0.0,9340071758.831074,9340071749.491001,9484047025.939562,143975267.10848808,143975276.4485607
kharif,karnataka,31716232099454.82,31716232067738.59,31716232067738.598,-31716.22265625,0.0078125,-24152535972.160484,-24152535996.31302,-18882638135.202682,5269897836.957802,5269897861.110336
kharif,kerala,1309535320089.5908,1309535318780.0554,1309535318780.0554,-1309.535400390625,0.0,-3049046998.508598,-3049047001.557645,-3049046995.4595504,3.0490474700927734,6.098094463348389
kharif,madhya pradesh,38148961481583.43,38148961443434.47,40059772565486.44,1910811083903.0078,1910811122051.9688,16969155200.044552,16969155183.075397,19547123154.696854,2577967954.652302,2577967971.621456
kharif,maharashtra,21404558520399.91,21404558498995.35,21404558498995.367,-21404.54296875,0.015625,-22397897227.45329,-22397897249.851185,-20053040308.62184,2344856918.8314476,2344856941.2293434
kharif,manipur,2320612000035.539,2320611997714.9272,2323000670641.599,2388670606.0600586,2388672926.671875,-101586547.88688523,-101586547.98847178,-101586547.98847175,-0.10158652067184448,2.9802322387695312e-08
kharif,meghalaya,1000741279992.7454,1000741278992.004,1000741278992.0042,-1000.7412109375,0.0001220703125,-27556231.135768827,-27556231.163325056,-20047079.38778654,7509151.747982286,7509151.775538515
kharif,mizoram,238690505994.7251,238690505756.03458,238690505756.03458,-238.69052124023438,0.0,-7421868.778368731,-7421868.7857906,-2825799.0012934264,4596069.777075305,4596069.7844971735
kharif,nagaland,2250211300127.81,2250211297877.5986,2250211297877.597,-2250.212890625,-0.00146484375,-43091902.49167898,-43091902.53477088,-43091902.53477087,-0.04309188574552536,1.4901161193847656e-08
kharif,odisha,21335349451118.605,21335349429783.258,21335349429783.26,-21335.34375,0.00390625,9878318360.114445,9878318350.236126,10016667575.58333,138349215.46888542,138349225.3472042
kharif,puducherry,54700389994.98024,54700389940.27985,54700389940.279854,-54.70038604736328,7.62939453125e-06,-4297303.316829265,-4297303.321126568,-4297303.321126567,-0.004297302104532719,9.313225746154785e-10
kharif,punjab,49222025000220.445,49222024950998.42,49222024950998.4,-49222.046875,-0.0234375,64740446216.4004,64740446151.65995,65114584254.6332,374138038.23280334,374138102.97325134
