source_crop,target_crop,flow_type,flow_ha
bajra,bajra,retained,6934690.444813113
bajra,jowar,reallocated,263462.1905353246
bajra,maize,reallocated,192030.1744796017
bajra,ragi,reallocated,11840.552630338036
bajra,rice,reallocated,160095.48109499805
bajra,wheat,reallocated,3694.1564466248474
jowar,bajra,reallocated,256117.65761486266
jowar,jowar,retained,5487023.253390668
jowar,maize,reallocated,187445.94166771363
jowar,ragi,reallocated,30923.953847539928
jowar,rice,reallocated,124249.48738278613
jowar,wheat,reallocated,152468.70609642923
maize,bajra,reallocated,259374.13916839458
maize,jowar,reallocated,316067.4382034181
maize,maize,retained,8031015.939391427
maize,ragi,reallocated,35165.18678344807
maize,rice,reallocated,565929.3783256403
maize,wheat,reallocated,231985.73812767223
ragi,bajra,reallocated,1433.3171716467486
ragi,jowar,reallocated,59874.92798866976
ragi,maize,reallocated,134348.4353825021
ragi,ragi,retained,794033.8101818243
ragi,rice,reallocated,204835.351607821
ragi,wheat,reallocated,458.15766753617874
rice,bajra,reallocated,458531.69524868735
rice,jowar,reallocated,435527.51062495215
rice,maize,reallocated,1321909.22086342
rice,ragi,reallocated,103658.93066216327
rice,rice,retained,42069461.47140163
rice,wheat,reallocated,155815.92119872634
wheat,bajra,reallocated,188598.8852489479
wheat,jowar,reallocated,258885.1224425595
wheat,maize,reallocated,174502.3804265288
wheat,ragi,reallocated,581.9286334146904
wheat,rice,reallocated,65025.62470748479
wheat,wheat,retained,30043838.558541063
