source_crop,target_crop,flow_type,flow_ha
bajra,bajra,retained,3945569.548043641
bajra,jowar,reallocated,1392235.7468874534
bajra,maize,reallocated,1375939.8381167254
bajra,ragi,reallocated,243758.9226893602
bajra,rice,reallocated,606579.0827686962
bajra,wheat,reallocated,1729.8614941239846
jowar,bajra,reallocated,1245441.880710987
jowar,jowar,retained,2906522.0768463784
jowar,maize,reallocated,1335217.6843596164
jowar,ragi,reallocated,245723.47091382643
jowar,rice,reallocated,247780.61611195415
jowar,wheat,reallocated,257543.27105723787
maize,bajra,reallocated,1561439.259573033
maize,jowar,reallocated,1188799.8541300606
maize,maize,retained,4617495.851779719
maize,ragi,reallocated,289493.97961315355
maize,rice,reallocated,1566003.5720328547
maize,wheat,reallocated,216305.30287117875
ragi,bajra,reallocated,108431.7007950797
ragi,jowar,reallocated,190366.86107979325
ragi,maize,reallocated,627425.4790793011
ragi,ragi,retained,126017.0
ragi,rice,reallocated,140541.0
ragi,wheat,reallocated,2201.9590458259077
rice,bajra,reallocated,4293327.486998592
rice,jowar,reallocated,2351807.581604204
rice,maize,reallocated,8737467.258492593
rice,ragi,reallocated,1483984.4573604343
rice,rice,retained,27172853.600717098
rice,wheat,reallocated,505464.36482666316
wheat,bajra,reallocated,842653.8798002511
wheat,jowar,reallocated,963093.1350062722
wheat,maize,reallocated,2930234.848170995
wheat,ragi,reallocated,3132.7305378782044
wheat,rice,reallocated,1127286.5587973974
wheat,wheat,retained,24865031.347687207
