season,State,baseline_calories,relaxed_calorie_target,optimized_calories,calorie_gap,calorie_gap_vs_relaxed_target,baseline_income,relaxed_income_target,optimized_income,income_gap,income_gap_vs_relaxed_target
kharif,andaman and nicobar,39979298401.69207,39979298361.71277,39979298401.69207,0.0,39.97930145263672,-2337361.578791718,-2337361.5811290797,-2337361.578791718,0.0,0.0023373616859316826
kharif,andhra pradesh,19797443372526.32,19797443352728.875,19797443352728.883,-19797.4375,0.0078125,3931148787.1680126,3931148783.2368636,3931148783.236863,-3.931149482727051,-4.76837158203125e-07
kharif,arunachal pradesh,1094745125554.6077,1094745124459.8625,1094745124459.8622,-1094.7454833984375,-0.0003662109375,-6586061.4564487375,-6586061.463034799,115255402.27595592,121841463.73240465,121841463.73899071
kharif,assam,14916404330122.54,14916404315206.135,17134254001481.76,2217849671359.2207,2217849686275.625,5840902582.582388,5840902576.741486,5840902576.7414875,-5.840900421142578,1.9073486328125e-06
kharif,bihar,30371581779048.49,30371581748676.906,30371581748676.887,-30371.6015625,-0.01953125,26098833694.2744,26098833668.175564,26098833668.175568,-26.098831176757812,3.814697265625e-06
kharif,chandigarh,195800000.0,195799999.8042,195800000.0,0.0,0.19580000638961792,-11447.309368191634,-11447.309379638944,-11447.309368191634,0.0,1.1447309589129873e-05
kharif,chhattisgarh,21412861919044.383,21412861897631.52,27224680283278.14,5811818364233.758,5811818385646.621,-1626642765.5162122,-1626642767.142855,-1626642767.1428554,-1.626643180847168,-4.76837158203125e-07
kharif,dadra and nagar haveli,107506719987.49779,107506719879.99107,107506719879.99107,-107.5067138671875,0.0,-28450468.981304415,-28450469.009754885,-28450469.00975488,-0.028450466692447662,3.725290298461914e-09
kharif,gujarat,9058469019610.598,9058469010552.129,9058469010552.133,-9058.46484375,0.00390625,6355682753.348295,6355682746.992613,6355682746.992609,-6.355686187744141,-3.814697265625e-06
kharif,haryana,20293045999693.883,20293045979400.836,20293045979400.84,-20293.04296875,0.00390625,4789965255.877543,4789965251.087578,4789965251.087578,-4.789965629577637,0.0
kharif,himachal pradesh,2847003100009.5454,2847003097162.5425,2847003097162.5425,-2847.0029296875,0.0,23568037.71967074,23568037.6961027,524603942.3518141,501035904.6321434,501035904.6557114
kharif,jammu and kashmir,4257155551611.915,4257155547354.7593,4257155547354.7593,-4257.15576171875,0.0,157839410.85583785,157839410.69799843,157839410.6979984,-0.15783944725990295,-2.9802322387695312e-08
kharif,jharkhand,14218054110053.514,14218054095835.459,14218054095835.459,-14218.0546875,0.0,9340071758.83107,9340071749.490997,9340071749.490997,-9.340072631835938,0.0
kharif,karnataka,31716232099454.82,31716232067738.59,31716232067738.59,-31716.23046875,0.0,-24152535972.160484,-24152535996.31302,8797306206.671492,32949842178.831978,32949842202.984512
kharif,kerala,1309535320089.5908,1309535318780.0554,1309535318780.0554,-1309.535400390625,0.0,-3049046998.508598,-3049047001.557645,-3049046992.1857777,6.32282018661499,9.371867179870605
kharif,madhya pradesh,38148961481583.44,38148961443434.48,38148961443434.48,-38148.9609375,0.0,16969155200.044542,16969155183.075388,23550488187.99801,6581332987.953466,6581333004.922621
kharif,maharashtra,21404558520399.906,21404558498995.348,21404558498995.348,-21404.55859375,0.0,-22397897227.453293,-22397897249.85119,4601815490.223518,26999712717.67681,26999712740.074707
kharif,manipur,2320612000035.5386,2320611997714.927,2694236761191.7583,373624761156.2197,373624763476.83154,-101586547.88688521,-101586547.98847176,25554664.190994672,127141212.07787988,127141212.17946643
kharif,meghalaya,1000741279992.7452,1000741278992.0039,1000741278992.004,-1000.7412109375,0.0001220703125,-27556231.135768823,-27556231.163325053,47260829.32872445,74817060.46449327,74817060.4920495
kharif,mizoram,238690505994.7251,238690505756.03458,238690505756.03458,-238.69052124023438,0.0,-7421868.77836873,-7421868.785790599,33382156.54668266,40804025.32505139,40804025.332473256
kharif,nagaland,2250211300127.81,2250211297877.5986,2250211297877.5986,-2250.21142578125,0.0,-43091902.49167898,-43091902.53477088,-43091902.53477088,-0.043091900646686554,0.0
kharif,odisha,21335349451118.6,21335349429783.254,21672642391815.848,337292940697.2461,337292962032.59375,9878318360.114443,9878318350.236124,9878318350.23612,-9.87832260131836,-3.814697265625e-06
kharif,puducherry,54700389994.98025,54700389940.279854,54700389940.279854,-54.70039367675781,0.0,-4297303.316829265,-4297303.321126568,-4297303.321126565,-0.004297300241887569,2.7939677238464355e-09
kharif,punjab,49222025000220.44,49222024950998.414,49222024950998.4,-49222.0390625,-0.015625,64740446216.40039,64740446151.65994,65398432867.940735,657986651.5403442,657986716.2807922
kharif,rajasthan,21715167640853.355,21715167619138.188,21715167619138.19,-21715.1640625,0.00390625,-2921072180.463381,-2921072183.384453,-2544526008.0522504,376546172.4111304,376546175.33220243
kharif,sikkim,295234720036.19525,295234719740.9605,295234719740.96045,-295.23480224609375,-6.103515625e-05,33279984.51006055,33279984.476780564,37596022.38873434,4316037.878673792,4316037.911953777
kharif,tamil nadu,26459027670852.668,26459027644393.64,51394687507791.28,24935659836938.613,24935659863397.64,-12573004048.801828,-12573004061.374832,-12573004061.37483,-12.573001861572266,1.9073486328125e-06
kharif,telangana,16096525409851.379,16096525393754.854,17390582606694.201,1294057196842.8223,1294057212939.3477,366339333.891967,366339333.5256277,366339333.52562785,-0.36633914709091187,1.7881393432617188e-07
kharif,tripura,2121831339935.4888,2121831337813.6575,2121831337813.6577,-2121.8310546875,0.000244140625,-107305492.39627145,-107305492.50357695,-88197834.58220385,19107657.814067602,19107657.9213731
kharif,uttar pradesh,66941203716881.46,66941203649940.26,66941203649940.234,-66941.2265625,-0.0234375,3221119204.198883,3221119200.9777637,3221119200.977764,-3.221118927001953,4.76837158203125e-07
kharif,uttarakhand,2798525140056.7944,2798525137258.2695,2798525137258.2695,-2798.52490234375,0.0,-3787859649.251815,-3787859653.0396743,-3787859653.0396748,-3.7878599166870117,-4.76837158203125e-07
kharif,west bengal,41935309264579.06,41935309222643.75,41935309222643.766,-41935.296875,0.015625,-7210833798.972619,-7210833806.183453,-7210833806.18345,-7.2108306884765625,2.86102294921875e-06
rabi,andaman and nicobar,128523599.99999999,128523599.87147638,128523599.99999999,0.0,0.12852360308170319,31241.691270175455,31241.691238933763,31241.691270175455,0.0,3.1241692340699956e-05
rabi,andhra pradesh,19762745353591.105,19762745333828.36,19762745333828.36,-19762.74609375,0.0,8076870692.651274,8076870684.574403,8076870684.574402,-8.076871871948242,-9.5367431640625e-07
rabi,arunachal pradesh,24929240000.0,24929239975.07076,24929240000.0,0.0,24.929241180419922,16148028.37655504,16148028.360407012,16148028.37655504,0.0,0.016148028895258904
rabi,assam,4410052857300.795,4410052852890.742,4479334943373.862,69282086073.06738,69282090483.12012,1770554606.7455428,1770554604.9749882,1798952011.8427927,28397405.097249985,28397406.867804527
rabi,bihar,31064631580000.0,31064631548935.367,41487271741183.625,10422640161183.625,10422640192248.258,41161891303.700005,41161891262.53812,49879300024.250694,8717408720.55069,8717408761.712578
rabi,chandigarh,8262520000.0,8262519991.73748,8262520000.0,0.0,8.262519836425781,5352084.837799048,5352084.8324469635,5352084.837799048,0.0,0.0053520845249295235
rabi,chhattisgarh,461371652206.69653,461371651745.3249,461371652206.69653,0.0,461.37164306640625,-544246609.8577381,-544246610.4019847,-544246609.8577381,0.0,0.5442465543746948
rabi,dadra and nagar haveli,2844440000.0000005,2844439997.1555605,3578219942.814046,733779942.8140454,733779945.6584854,-842958.764285713,-842958.7651286718,2312012.061010382,3154970.825296095,3154970.826139054
rabi,gujarat,13909654580000.0,13909654566090.346,14798578737340.168,888924157340.168,888924171249.8223,12975823298.499996,12975823285.524174,12975823285.524172,-12.975824356079102,-1.9073486328125e-06
rabi,haryana,41128416000000.0,41128415958871.586,41128416000000.0,0.0,41128.4140625,50268631679.99999,50268631629.73136,50268631679.99999,0.0,50.26863098144531
rabi,himachal pradesh,1943550140000.0,1943550138056.45,1943550140000.0,0.0,1943.550048828125,-229181983.90000015,-229181984.12918213,-229181983.90000015,0.0,0.22918197512626648
rabi,jammu and kashmir,2076743192000.0,2076743189923.2568,2076743189923.2573,-2076.74267578125,0.00048828125,1235699522.6210747,1235699521.3853753,1235699521.385375,-1.2356996536254883,-2.384185791015625e-07
rabi,jharkhand,1579768060000.0,1579768058420.232,1579768058420.232,-1579.76806640625,0.0,-228828160.60000005,-228828160.82882822,-228828160.82882828,-0.22882822155952454,-5.960464477539063e-08
rabi,karnataka,9062350260000.0,9062350250937.65,9062350250937.652,-9062.34765625,0.001953125,-3155020147.900001,-3155020151.0550213,2906981066.0887914,6062001213.988792,6062001217.143812
rabi,kerala,546328280000.0,546328279453.6717,546328280000.0,0.0,546.3283081054688,-1272039460.6999998,-1272039461.9720392,-1272039460.6999998,0.0,1.2720394134521484
rabi,madhya pradesh,65023831400000.0,65023831334976.17,65157664830596.73,133833430596.72656,133833495620.55469,125524681987.99998,125524681862.4753,125524681862.47533,-125.524658203125,3.0517578125e-05
rabi,maharashtra,15727005440000.0,15727005424272.994,15727005424272.992,-15727.0078125,-0.001953125,6656766465.999999,6656766459.343232,10105774862.905628,3449008396.905629,3449008403.562396
rabi,manipur,77091400000.0,77091399922.9086,77091399922.9086,-77.09140014648438,0.0,26062609.985645957,26062609.959583346,40431402.96136881,14368792.97572285,14368793.00178546
rabi,meghalaya,228659820000.0,228659819771.34018,229936974754.85828,1277154754.8582764,1277154983.518097,-65067555.0167483,-65067555.08181585,-65067555.08181587,-0.06506756693124771,-1.4901161193847656e-08
rabi,mizoram,5894212000.0,5894211994.105788,7228590467.592161,1334378467.5921612,1334378473.486373,-483773.02948960406,-483773.02997337707,-483773.029973377,-0.0004837729502469301,5.820766091346741e-11
rabi,nagaland,109138400000.0,109138399890.8616,111684064555.07669,2545664555.0766907,2545664664.215088,6168843.858184276,6168843.852015432,6168843.852015425,-0.006168850697577,-6.51925802230835e-09
rabi,odisha,2496216949000.0,2496216946503.783,2509760672301.9775,13543723301.97754,13543725798.194336,1232668023.3425598,1232668022.109892,1232668022.1098921,-1.2326676845550537,2.384185791015625e-07
rabi,puducherry,145216450000.0,145216449854.78354,145216449854.78354,-145.21646118164062,0.0,-44432845.591988966,-44432845.636421815,-42456334.89204294,1976510.6999460235,1976510.7443788722
rabi,punjab,57419040000000.0,57419039942580.96,57419040000000.0,0.0,57419.0390625,100852442400.0,100852442299.14755,100852442400.0,0.0,100.85244750976562
rabi,rajasthan,36323210000000.0,36323209963676.79,36323210000000.0,0.0,36323.2109375,41843886700.0,41843886658.15611,41843886700.0,0.0,41.84388732910156
rabi,sikkim,595699999.9999999,595699999.4042999,595699999.9999999,0.0,0.5957000255584717,385867.37918660324,385867.37880073587,385867.37918660324,0.0,0.0003858673735521734
rabi,tamil nadu,9006666270000.0,9006666260993.334,12485632752070.283,3478966482070.283,3478966491076.949,-5012566007.300003,-5012566012.312569,-5012566012.312569,-5.012565612792969,0.0
rabi,telangana,15914880360000.0,15914880344085.12,23464987054334.28,7550106694334.281,7550106710249.162,-2404420780.3797126,-2404420782.7841334,4141818691.78209,6546239472.161802,6546239474.566223
rabi,tripura,849693640000.0,849693639150.3064,849693639150.3063,-849.6937255859375,-0.0001220703125,-244451066.14463028,-244451066.38908136,-238413804.01271513,6037262.131915152,6037262.376366228
rabi,uttar pradesh,115532667659730.12,115532667544197.45,115842748944134.31,310081284404.1875,310081399936.8594,96343646446.3252,96343646349.98155,96343646349.98158,-96.34361267089844,3.0517578125e-05
rabi,uttarakhand,3154203000000.0,3154202996845.797,3188193049349.1465,33990049349.146484,33990052503.34961,2759692260.1715784,2759692257.411886,2997891588.4532127,238199328.28163433,238199331.04132652
rabi,west bengal,22149918042768.445,22149918020618.527,22149918020618.527,-22149.91796875,0.0,-1142173018.9180026,-1142173020.0601757,3860681037.3876557,5002854056.305658,5002854057.447831
