source_crop,target_crop,flow_type,flow_ha
bajra,bajra,retained,4230863.910139367
bajra,jowar,reallocated,1673610.1901525594
bajra,maize,reallocated,881455.3803406501
bajra,ragi,reallocated,253223.62350501464
bajra,rice,reallocated,495106.3922836378
bajra,wheat,reallocated,31553.503578770586
jowar,bajra,reallocated,651764.3144010096
jowar,jowar,retained,4007843.3485233374
jowar,maize,reallocated,1020690.7431124059
jowar,ragi,reallocated,98937.53522439084
jowar,rice,reallocated,119403.0587388565
jowar,wheat,reallocated,339590.0
maize,bajra,reallocated,1362668.4693993926
maize,jowar,reallocated,2471535.053983178
maize,maize,retained,3692196.50791662
maize,ragi,reallocated,261260.55738634474
maize,rice,reallocated,1306364.848909121
maize,wheat,reallocated,345512.3824053437
ragi,bajra,reallocated,33254.51843660545
ragi,jowar,reallocated,462394.45667617046
ragi,maize,reallocated,483648.7506947788
ragi,ragi,retained,120390.06462569976
ragi,rice,reallocated,95018.71145326948
ragi,wheat,reallocated,277.4981134760742
rice,bajra,reallocated,3705396.857939755
rice,jowar,reallocated,4883381.728573212
rice,maize,reallocated,12383058.829329414
rice,ragi,reallocated,1217861.7829664296
rice,rice,retained,21668845.105914555
rice,wheat,reallocated,686360.4452766328
wheat,bajra,reallocated,545003.0
wheat,jowar,reallocated,844938.4488889438
wheat,maize,reallocated,1690116.2433764278
wheat,ragi,reallocated,2769.535597021064
wheat,rice,reallocated,420585.16770217963
wheat,wheat,retained,27228020.10443543
