State,flow
tamil nadu,2236079544699.536
bihar,1704726612106.7534
madhya pradesh,1304913736739.4673
karnataka,1185001587872.3672
maharashtra,1148014687898.0688
uttarakhand,1045406510582.5913
uttar pradesh,908938707638.9548
west bengal,825158343796.7795
andhra pradesh,817748845710.123
punjab,700479094045.4705
telangana,670761080590.4482
rajasthan,385149313363.93616
assam,353836969302.52716
haryana,347181436493.2756
odisha,256850312177.90607
gujarat,221974028419.5585
kerala,155592664659.35272
chhattisgarh,126038144048.27156
jharkhand,51081909260.85556
nagaland,26538333354.569958
jammu and kashmir,18518810758.038265
tripura,13167043597.622782
goa,9515966750.397364
chandigarh,5830787748.849873
manipur,3111274961.552803
delhi,2801784672.3827686
himachal pradesh,778786766.5204327
mizoram,440918298.5852864
puducherry,95319014.40078501
arunachal pradesh,60206922.33116114
meghalaya,379631.8475536704
daman and diu,0.0
