State,original_alt_prod_kcal,optimized_alt_prod_kcal,original_alt_trade_kcal,staple_deficit_kcal,pre_scale_alt_trade_kcal,new_link_count,surplus_alt_prod_kcal,scale_factor,optimized_alt_trade_kcal,capacity_limited
bihar,12722551639959.777,21375279179266.508,1469004127500.0,23596431465.338585,1492600558965.3389,4,8652727539306.73,1.0,1492600558965.3389,False
madhya pradesh,21267907400331.24,22503551670778.742,1242101192000.0,22607437781.453125,1264708629781.4531,0,1235644270447.504,1.0,1264708629781.4531,False
maharashtra,21340724720057.332,30339952650147.773,663704539000.0,302872950308.4634,966577489308.4631,10,8999227930090.441,1.0,966577489308.4631,False
uttar pradesh,12432811200210.184,21001859344296.227,426870393333.3333,350769431643.07465,777639824976.4078,17,8569048144086.043,1.0,777639824976.4078,False
karnataka,29722525459903.023,40410044967093.05,355459494000.0,142573787436.85516,498033281436.85516,5,10687519507190.023,1.0,498033281436.85516,False
andhra pradesh,9437724265933.771,8068367512167.041,397934865000.0,56184678652.59589,454119543652.5958,8,-1369356753766.7305,1.0,454119543652.5958,False
west bengal,4878949200009.889,4085420249550.2466,447811747500.0,0.0,447811747500.0,0,-793528950459.6421,1.0,447811747500.0,False
rajasthan,20109849720757.4,20268478013045.07,28269354666.666664,338646587237.12787,366915941903.79456,15,158628292287.67188,1.0,366915941903.79456,False
telangana,9695015909973.984,11852609660379.26,82898205000.0,219702875094.0313,302601080094.03125,13,2157593750405.2754,1.0,302601080094.03125,False
odisha,508180760963.99115,1140053029414.3657,113712235000.0,51004045543.26888,164716280543.2689,6,631872268450.3745,1.0,164716280543.2689,False
tamil nadu,11832811939859.463,43285307064698.8,2923830000.0,157238618344.8518,160162448344.8518,12,31452495124839.336,1.0,160162448344.8518,False
uttarakhand,591557340042.9392,1176920608402.7932,0.0,147222997610.6938,147222997610.6938,23,585363268359.854,1.0,147222997610.6938,False
gujarat,6255064419805.942,17487759072427.385,19377852333.333332,95756905697.441,115134758030.7743,13,11232694652621.441,1.0,115134758030.7743,False
haryana,2920245999634.786,2932610407035.19,36125846500.0,5553765796.591146,41679612296.59115,24,12364407400.403809,1.0,41679612296.59115,False
chhattisgarh,1055111249978.5844,1085685272486.0793,23396165000.0,14813480160.215511,38209645160.215515,22,30574022507.494995,1.0,38209645160.215515,False
assam,337837860000.33856,317795655969.20044,0.0,11517457845.054127,11517457845.054127,9,-20042204031.138123,1.0,11517457845.054127,False
punjab,1447893000006.84,1088989299853.1852,8804640000.0,0.0,8804640000.0,0,-358903700153.6549,1.0,8804640000.0,False
nagaland,472186100026.8128,87733877465.79893,0.0,2910124920.3520203,2910124920.3520203,2,-384452222561.01385,1.0,2910124920.3520203,False
tripura,79202340002.54524,43616333888.960724,0.0,1530507591.5859685,1530507591.5859685,3,-35586006113.58452,1.0,1530507591.5859685,False
kerala,0.0,979.3445294587278,0.0,95403995751.76161,95403995751.76161,10,979.3445294587278,1.0265235976142482e-08,979.3445294587278,True
manipur,215767799984.09702,213692451201.25656,0.0,0.0,0.0,0,-2075348782.840454,0.0,0.0,False
meghalaya,142354079999.8119,151712740036.385,0.0,0.0,0.0,0,9358660036.57312,0.0,0.0,False
mizoram,32388425999.4186,36042089979.44082,0.0,0.0,0.0,0,3653663980.0222206,0.0,0.0,False
jharkhand,2108773610068.656,524973480208.9746,0.0,0.0,0.0,0,-1583800129859.6814,0.0,0.0,False
jammu and kashmir,1909501276014.068,1436213228030.4207,0.0,0.0,0.0,0,-473288047983.64746,0.0,0.0,False
puducherry,603120000.00696,933500795.306431,0.0,0.0,0.0,0,330380795.299471,0.0,0.0,False
himachal pradesh,2438368499990.4917,1677927413033.1033,0.0,0.0,0.0,0,-760441086957.3884,0.0,0.0,False
goa,0.0,0.0,0.0,6814652166.666666,6814652166.666666,4,0.0,0.0,0.0,True
sikkim,232450560029.02896,236711493039.80307,0.0,0.0,0.0,0,4260933010.774109,0.0,0.0,False
delhi,0.0,0.0,2940405000.0,130187056016.66669,133127461016.66669,13,0.0,0.0,0.0,True
daman and diu,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
dadra and nagar haveli,5480680000.34225,5315168019.690758,0.0,0.0,0.0,0,-165511980.65149212,0.0,0.0,False
chandigarh,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
arunachal pradesh,264078719981.43967,312867817789.8175,0.0,0.0,0.0,0,48789097808.37784,0.0,0.0,False
andaman and nicobar,128523599.99999999,128523599.99999999,0.0,0.0,0.0,0,0.0,0.0,0.0,False
