source_state,target_state,baseline_alt_trade_kcal,staple_deficit_kcal,quantity_kcal,is_new_link,pre_scale_trade_kcal,State,scale_factor,optimized_alt_prod_kcal,pre_scale_alt_trade_kcal,optimized_alt_trade_kcal,capacity_limited,optimized_trade_kcal
andhra pradesh,arunachal pradesh,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,0.0
andhra pradesh,assam,0.0,6978921133.52944,0.0,True,6978921133.52944,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,6978921133.52944
andhra pradesh,bihar,0.0,5279261566.402133,0.0,True,5279261566.402133,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,5279261566.402133
andhra pradesh,chandigarh,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,0.0
andhra pradesh,chhattisgarh,0.0,295618763.4297676,0.0,True,295618763.4297676,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,295618763.4297676
andhra pradesh,delhi,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,0.0
andhra pradesh,goa,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,0.0
andhra pradesh,gujarat,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,0.0
andhra pradesh,haryana,4327732500.0,0.0,4327732500.0,False,4327732500.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,4327732500.0
andhra pradesh,himachal pradesh,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,0.0
andhra pradesh,jammu and kashmir,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,0.0
andhra pradesh,jharkhand,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,8068367512167.041,454119543652.5958,454119543652.5958,False,0.0
