from,to,value
AP,AS,6978921133.52944
AP,BR,5279261566.402133
AP,CH,295618763.4297676
AP,HR,4327732500.0
AP,KA,50043240000.0
AP,KL,8652150000.0
AP,MP,1027099500.0
AP,MH,4395690000.0
AP,OD,36437788333.33333
AP,PN,8214570000.0
AP,RJ,427795783.3333334
AP,TN,270065370000.0
AP,UP,8762597044.128927
AP,WB,46144771624.59066
AS,BR,88557252.67091683
AS,HR,835911515.4386554
AS,MP,97418341.6820297
AS,PN,965245151.37882
AS,UP,1114599981.6400356
AS,WB,152514699.69084758
BR,AP,57056122500.0
BR,AS,62179267476.57117
BR,CH,26463645000.0
BR,GJ,11446695000.0
BR,HR,38548847031.91169
BR,KA,238757569562.00992
BR,KL,32243900000.0
BR,MP,1707854947.1364923
BR,MH,43262960000.0
BR,PN,96400647166.68015
BR,RJ,134569477.43249324
BR,TN,477475941568.7898
BR,TE,17236464172.524017
BR,UP,184231744.21571326
BR,UR,363059881277.2492
BR,WB,26087937107.620125
CH,AP,3435077064.309082
CH,AS,6031742254.253906
CH,BR,1948643068.7324219
CH,GJ,83888156.17176819
CH,HR,8690761.652580261
CH,KA,613165338.3545532
CH,KL,337281073.0414734
CH,MP,129946176.58892822
CH,MH,1798078259.6157227
CH,OD,13141803.541723251
CH,PN,29213869.272663116
CH,RJ,681684.2764725685
CH,TN,5240668622.283447
CH,UP,3549659.2357239723
CH,UR,1225695.0618145466
CH,WB,15296851232.190063
GJ,AP,3486550820.0520205
GJ,AS,3106991686.7392673
GJ,BR,5042029.055506652
GJ,HR,28986902987.09803
GJ,KA,7822008140.159706
GJ,KL,1272297836.139351
GJ,MP,8556275408.047442
GJ,MH,5344050691.152482
GJ,PN,25894415402.998295
GJ,RJ,1136347865.078192
GJ,TN,4148985231.5156207
GJ,TE,660460500.83801
GJ,UP,20539808348.462563
GJ,WB,1991925683.3241398
HR,AS,818309749.2963867
HR,BR,821138998.9243164
HR,GJ,227673052.3157959
HR,KA,7021394354.076904
HR,KL,82925277.45439148
HR,MP,20665548.88500595
