State,flow
punjab,42204351740097.055
haryana,20480645050103.363
uttar pradesh,16815598787655.645
andhra pradesh,16102675053941.54
tamil nadu,16032764062761.83
maharashtra,14696986542009.898
madhya pradesh,13541070178216.197
karnataka,11343420185181.684
bihar,11282676357215.014
west bengal,11006212637661.818
chhattisgarh,10311372247315.814
odisha,8644345307998.139
assam,7976140124007.559
rajasthan,7030011964173.018
gujarat,6769181023949.598
kerala,6356529549046.646
jharkhand,4436434269920.839
telangana,2113185196418.444
jammu and kashmir,1568565488071.0935
nagaland,1305123991743.3047
chandigarh,1242991351774.854
delhi,1148880003421.4382
tripura,937798813444.6633
uttarakhand,918345263401.5282
goa,262658669886.79797
himachal pradesh,236934574338.42847
manipur,223297271745.02652
mizoram,128124300582.3393
arunachal pradesh,12360817607.212463
meghalaya,533027034.81911296
puducherry,11415935.599214999
andaman and nicobar,0.0
sikkim,0.0
daman and diu,0.0
dadra and nagar haveli,0.0
lakshadeep,0.0
