source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
andaman and nicobar,andhra pradesh,0.0,0.0,0.0
andaman and nicobar,arunachal pradesh,0.0,0.0,0.0
andaman and nicobar,assam,0.0,0.0,0.0
andaman and nicobar,bihar,0.0,0.0,0.0
andaman and nicobar,chandigarh,0.0,0.0,0.0
andaman and nicobar,chhattisgarh,0.0,0.0,0.0
andaman and nicobar,dadra and nagar haveli,0.0,0.0,0.0
andaman and nicobar,daman and diu,0.0,0.0,0.0
andaman and nicobar,delhi,0.0,0.0,0.0
andaman and nicobar,goa,0.0,0.0,0.0
andaman and nicobar,gujarat,0.0,0.0,0.0
andaman and nicobar,haryana,0.0,0.0,0.0
andaman and nicobar,himachal pradesh,0.0,0.0,0.0
andaman and nicobar,jammu and kashmir,0.0,0.0,0.0
andaman and nicobar,jharkhand,0.0,0.0,0.0
andaman and nicobar,karnataka,0.0,0.0,0.0
andaman and nicobar,kerala,0.0,0.0,0.0
andaman and nicobar,lakshadeep,0.0,0.0,0.0
andaman and nicobar,madhya pradesh,0.0,0.0,0.0
andaman and nicobar,maharashtra,0.0,0.0,0.0
andaman and nicobar,manipur,0.0,0.0,0.0
andaman and nicobar,meghalaya,0.0,0.0,0.0
andaman and nicobar,mizoram,0.0,0.0,0.0
andaman and nicobar,nagaland,0.0,0.0,0.0
andaman and nicobar,odisha,0.0,0.0,0.0
andaman and nicobar,puducherry,0.0,0.0,0.0
andaman and nicobar,punjab,0.0,0.0,0.0
andaman and nicobar,rajasthan,0.0,0.0,0.0
andaman and nicobar,sikkim,0.0,0.0,0.0
andaman and nicobar,tamil nadu,0.0,0.0,0.0
andaman and nicobar,telangana,0.0,0.0,0.0
andaman and nicobar,tripura,0.0,0.0,0.0
andaman and nicobar,uttar pradesh,0.0,0.0,0.0
andaman and nicobar,uttarakhand,0.0,0.0,0.0
andaman and nicobar,west bengal,0.0,0.0,0.0
andhra pradesh,andaman and nicobar,0.0,0.0,0.0
andhra pradesh,arunachal pradesh,560700000.0,591781002.0908158,31081002.090815783
andhra pradesh,assam,152979291000.0,147392671098.1061,-5586619901.893881
andhra pradesh,bihar,69100255000.0,64429608657.26526,-4670646342.734736
andhra pradesh,chandigarh,0.0,0.0,0.0
andhra pradesh,chhattisgarh,9899035700.0,9694997863.666002,-204037836.33399773
andhra pradesh,dadra and nagar haveli,0.0,0.0,0.0
andhra pradesh,daman and diu,0.0,0.0,0.0
andhra pradesh,delhi,4647283333.333333,4904893861.244777,257610527.9114437
andhra pradesh,goa,0.0,0.0,0.0
