crop,source_state,target_state,original_trade_qtl,optimized_trade_qtl,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
rice,andhra pradesh,andaman and nicobar,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,arunachal pradesh,1575.0,1662.306185648359,560700000.0,591781002.0908158,31081002.090815783
rice,andhra pradesh,assam,392279.3333333333,414024.357017152,139651442666.66666,147392671098.1061,7741228431.439453
rice,andhra pradesh,bihar,171476.66666666666,180982.04679007095,61045693333.33333,64429608657.26526,3383915323.9319305
rice,andhra pradesh,chhattisgarh,25802.825,27233.140066477536,9185805700.0,9694997863.666002,509192163.6660023
rice,andhra pradesh,chandigarh,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,delhi,13054.166666666666,13777.791745069599,4647283333.333333,4904893861.244777,257610527.9114437
rice,andhra pradesh,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,goa,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,gujarat,29285.0,30908.34072807123,10425460000.0,11003369299.193357,577909299.1933575
rice,andhra pradesh,himachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,haryana,221.0,233.2505822401824,78676000.0,83037207.27750494,4361207.277504936
rice,andhra pradesh,jharkhand,79084.83333333333,83468.70326410762,28154200666.666664,29714858362.022312,1560657695.355648
rice,andhra pradesh,jammu and kashmir,1051.6666666666667,1109.96317793028,374393333.3333334,395146891.34317964,20753558.00984627
rice,andhra pradesh,kerala,8956280.666666666,9452749.684192259,3188435917333.333,3365178887572.4443,176742970239.11133
rice,andhra pradesh,karnataka,4529505.416666667,4780587.220350951,1612503928333.3335,1701889050444.9385,89385122111.60498
rice,andhra pradesh,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,maharashtra,115347.05833333332,121741.03400878861,41063552766.666664,43339808107.128746,2276255340.462082
rice,andhra pradesh,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,manipur,1430.0,1509.2684733188275,509080000.0,537299576.5015026,28219576.501502633
rice,andhra pradesh,madhya pradesh,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,mizoram,4245.0,4480.310957509387,1511220000.0,1594990700.8733418,83770700.8733418
rice,andhra pradesh,nagaland,22265.916666666668,23500.17206611485,7926666333.333334,8366061255.536886,439394922.20355225
rice,andhra pradesh,odisha,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,punjab,31953.25,33724.49849305932,11375357000.0,12005921463.529118,630564463.5291176
rice,andhra pradesh,puducherry,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,sikkim,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,telangana,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,tamil nadu,17109056.416666668,18057454.166369364,6090824084333.334,6428453683227.493,337629598894.1592
rice,andhra pradesh,tripura,8031.666666666667,8476.882019724277,2859273333.3333335,3017769999.0218425,158496665.688509
rice,andhra pradesh,uttarakhand,0.0,0.0,0.0,0.0,0.0
rice,andhra pradesh,uttar pradesh,4417.5,4662.373063556588,1572630000.0,1659804810.6261454,87174810.62614536
rice,andhra pradesh,west bengal,494786.0833333333,522213.3123160155,176143845666.66666,185907939184.5015,9764093517.834839
rice,andaman and nicobar,andhra pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,arunachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,assam,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,bihar,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,chhattisgarh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,chandigarh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,daman and diu,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,delhi,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,dadra and nagar haveli,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,goa,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,gujarat,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,himachal pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,haryana,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,jharkhand,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,jammu and kashmir,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,kerala,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,karnataka,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,lakshadeep,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,maharashtra,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,meghalaya,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,manipur,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,madhya pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,mizoram,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,nagaland,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,odisha,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,punjab,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,puducherry,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,rajasthan,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,sikkim,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,telangana,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,tamil nadu,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,tripura,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,uttarakhand,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,uttar pradesh,0.0,0.0,0.0,0.0,0.0
rice,andaman and nicobar,west bengal,0.0,0.0,0.0,0.0,0.0
rice,arunachal pradesh,andhra pradesh,0.0,0.0,0.0,0.0,0.0
