State,Crop,Original Area (Hectare),Optimized Area (Hectare),Original production kg,Optimized production kg,Original calorie,Optimized calorie
andaman and nicobar,maize,43.620000000000005,43.620000000000005,37580.0,37580.0,128523599.99999999,128523599.99999999
andaman and nicobar,rice,5340.55,5340.55,11230140.000475299,11230140.000475299,39979298401.69207,39979298401.69207
andhra pradesh,bajra,48357.0,119884.11739150055,93167999.995384,254508001.00439787,324224639983.9363,885687843495.3046
andhra pradesh,jowar,139669.0,16750.543491088825,332694000.004442,94841743.97683026,1111197960014.8362,316771424882.61304
andhra pradesh,maize,336540.0,256369.2867208728,2298566367.239729,1728955138.9228299,7861096975959.874,5913026575116.078
andhra pradesh,ragi,34450.0,107166.0,43988999.992251,203291796.3879226,141204689975.1257,652566666405.2316
andhra pradesh,rice,2218186.0,2277070.0523965377,8461342000.051588,8930375330.521912,30122377520183.652,31792136176658.008
andhra pradesh,wheat,38.0,0.0,27000.0,0.0,86940000.0,0.0
arunachal pradesh,maize,50797.0,79053.48162337116,77215999.994573,133954990.06374034,264078719981.43967,458126066017.99194
arunachal pradesh,rice,132000.0,103743.51837662884,233333259.992463,201033910.87205192,830666405573.1682,715680722704.5049
arunachal pradesh,wheat,3930.0,3930.0,7742000.0,7742000.0,24929240000.0,24929240000.0
assam,maize,31537.0,30721.368471613223,98783000.000099,121337989.91232722,337837860000.33856,414975925500.15906
assam,rice,2433711.0,2431029.631528387,5311578811.073875,5341459759.415875,18909220567422.996,19015596743520.516
assam,wheat,17786.0,21283.0,24658000.0,25766000.0,79398760000.0,82966520000.0
bihar,bajra,4379.0,0.0,4965999.9998469995,0.0,17281679999.46756,0.0
bihar,jowar,1358.0,0.0,1448000.0003590002,0.0,4836320001.1990595,0.0
bihar,maize,742863.0,2185747.4843258234,3709649999.988307,10260182417.104801,12687002999960.01,35089823866498.42
bihar,ragi,4211.0,1128063.2528033108,4183999.9997199997,1469829142.0301144,13430639999.1012,4718151545916.667
bihar,rice,3306983.0,1484060.0,8093160999.744022,4071885832.8397355,28811653159088.72,14495913564909.457
bihar,wheat,2129560.0,1391483.2628708659,6180748000.0,4251948547.0720778,19902008560000.0,13691274321572.09
chandigarh,maize,0.0,0.0,0.0,0.0,0.0,0.0
chandigarh,rice,10.0,10.0,55000.0,55000.0,195800000.0,195800000.0
chandigarh,wheat,546.0,546.0,2566000.0,2566000.0,8262520000.0,8262520000.0
chhattisgarh,bajra,61.0,0.0,25000.000004999998,0.0,87000000.0174,0.0
chhattisgarh,jowar,0.0,402068.5192438493,0.0,502932248.3403177,0.0,1679793709456.6611
chhattisgarh,maize,119617.0,2988444.4807561506,306936999.992694,6644926343.715017,1049724539975.0134,22725648095505.36
chhattisgarh,ragi,7274.0,0.0,1651000.001107,0.0,5299710003.55347,0.0
chhattisgarh,rice,3976626.0,713065.0,5718469289.063428,1272946764.22351,20357750669065.805,4531690480635.695
chhattisgarh,wheat,102195.0,102195.0,143283121.8033219,143283121.8033219,461371652206.69653,461371652206.69653
dadra and nagar haveli,jowar,451.0,517.3156939021025,385000.000187,441610.9584236086,1285900000.6245801,1474980601.134853
dadra and nagar haveli,maize,108.0,0.0,119000.000016,0.0,406980000.05472004,0.0
dadra and nagar haveli,ragi,1135.0,1157.215330518649,1179999.999895,1203096.1144409673,3787799999.6629496,3861938527.355505
dadra and nagar haveli,rice,14226.0,14245.468975036112,29457999.996392004,29498382.232506577,104870479987.15553,105014240747.7234
dadra and nagar haveli,wheat,0.0,5.431351155493758e-07,0.0,0.0014756920394397694,0.0,4.7517283669960575
gujarat,bajra,397152.0,639981.2363289098,964916999.986489,1643807590.7851558,3357911159952.982,5720450415932.342
gujarat,jowar,91198.0,756926.2995478939,125319999.98688799,1058991272.4325455,418568799956.20593,3537030849924.702
gujarat,maize,399984.0,4538.160398520353,714739999.96882,16942713.67828879,2444410799893.3643,57944080779.747665
gujarat,ragi,11880.0,0.0,10646000.001056,0.0,34173660003.389763,0.0
gujarat,rice,855290.0,776186.9126992751,1889808999.945128,1965194784.4754672,6727720039804.656,6996093432732.663
gujarat,wheat,1058778.0,636649.3910254007,3101037000.0,2067268570.5816844,9985339140000.0,6656604797273.023
haryana,bajra,510000.0,498261.5714396433,795199999.9061,810535695.1953535,2767295999673.228,2820664219279.8306
haryana,jowar,47500.0,51865.25323321384,24699999.9889,25936873.747234184,82497999962.926,86629158315.76218
haryana,maize,6600.0,0.0,20599999.9996,0.0,70451999998.632,0.0
haryana,rice,1422100.0,1436073.175327143,4880000000.0166,4883638371.293608,17372800000059.096,17385752601805.242
haryana,wheat,2647900.0,2647900.0,12772800000.0,12772800000.0,41128416000000.0,41128416000000.0
himachal pradesh,bajra,79.0,0.0,58000.000004999994,0.0,201840000.0174,0.0
himachal pradesh,maize,280811.0,152497.09561474592,711113999.997471,490622050.5944746,2432009879991.3506,1677927413033.1033
himachal pradesh,ragi,1817.0,0.0,1917999.999727,0.0,6156779999.123671,0.0
himachal pradesh,rice,71613.0,201822.90438525408,114785000.00535199,328392046.1037749,408634600019.0531,1169075684129.4387
himachal pradesh,wheat,342675.0,342675.0,603587000.0,603587000.0,1943550140000.0,1943550140000.0
jammu and kashmir,bajra,12615.0,78984.62311047665,7445199.9988,47711204.566421315,25909295995.824,166034991891.14618
jammu and kashmir,jowar,63.0,27982.0,37600.000011000004,16700368.258854002,125584000.03674,55779229984.572365
jammu and kashmir,maize,302516.0,290406.94139920303,546168600.0052431,663572913.9006056,1867896612017.9312,2269419365540.071
jammu and kashmir,ragi,8724.0,8728.203005552663,4850400.000086001,4726565.8302152855,15569784000.276062,15172276314.991066
jammu and kashmir,rice,273582.0,191473.43549032032,663754592.0218669,496045494.36487895,2362966347597.8467,1765921959938.969
jammu and kashmir,wheat,299336.0,299260.79699444736,640196000.0,640239414.1640577,2061431120000.0,2061570913608.266
jharkhand,bajra,614.0,0.0,354000.00011100003,0.0,1231920000.38628,0.0
jharkhand,jowar,3329.0,62677.0,2210000.00019,104461666.68755901,7381400000.6346,348901966736.4471
jharkhand,maize,294698.0,8679.490426592216,596732000.020133,20578999.979420997,2040823440068.8547,70380179929.61981
jharkhand,ragi,19013.0,119493.2427207142,18484999.999619998,153414606.73429862,59336849998.7802,492460887617.09863
jharkhand,rice,1735411.0,1860761.7572792857,3421252999.995747,3757497539.742111,12179660679984.86,13376691241481.916
jharkhand,wheat,220963.0,222416.5095734078,468754000.0,468753999.53124595,1509387880000.0,1509387878490.6118
karnataka,bajra,231550.0,72861.0,367252999.983452,116180217.06086257,1278040439942.413,404307155371.80176
karnataka,jowar,1088098.0,2909698.2731271815,1264009999.990292,5113214477.728328,4221793399967.575,17078136355612.617
karnataka,maize,1307008.0,1370018.7268728183,5610664999.96723,6135421326.364395,19188474299887.926,20983140936166.23
karnataka,ragi,777835.0,20565.0,1568292000.032745,49696999.997326,5034217320105.111,159527369991.41647
karnataka,rice,992925.0,170415.6857382904,2907470999.8741,574533043.6043799,10350596759551.797,2045337635231.5923
karnataka,wheat,193338.0,47195.3142617096,219087000.0,33581635.49769747,705460140000.0,108132866302.58586
kerala,jowar,0.0,0.0001518667672236,0.0,0.1899643743100865,0.0,634.4810101956889
kerala,ragi,0.0,0.0,0.0,0.0,0.0,0.0
kerala,rice,189086.0,189085.99984813324,521310000.025166,521309999.60862654,1855863600089.5908,1855863598606.7104
madhya pradesh,bajra,309940.0,717500.0,754740000.0433099,1600158472.7261417,2626495200150.7188,5568551485086.974
madhya pradesh,jowar,270040.0,2078412.7195923787,653420000.01099,4810569931.833422,2182422800036.7065,16067303572323.629
madhya pradesh,maize,1352160.0,660187.989970946,4812570000.04205,2815270704.3417225,16458989400143.812,9628225808848.691
madhya pradesh,ragi,0.0,0.0,0.0,0.0,0.0,0.0
madhya pradesh,rice,2035140.0,639734.3992276693,4899058000.35174,2428281624.772464,17440646481252.195,8644682584189.971
madhya pradesh,wheat,5802980.0,5674424.891209006,20019950000.0,19647214077.006634,64464239000000.0,63264029327961.36
maharashtra,bajra,787833.0,0.0,669176000.0067041,0.0,2328732480023.33,0.0
maharashtra,jowar,3464153.0,4983879.536118295,2389682000.0285788,3970354923.948173,7981537880095.453,13260985445986.898
maharashtra,maize,1063507.0,1461886.8184819536,3125402999.980813,4209194023.3095994,10688878259934.38,14395443559718.83
maharashtra,ragi,92817.0,710559.1453997516,106410000.001298,835988674.2810115,341576100004.16656,2683523644442.047
maharashtra,rice,1450943.0,348970.0,2730800000.09623,965272785.07476,9721648000342.578,3436371114866.1455
maharashtra,wheat,1137731.5,491689.0,1884842000.0,1042000049.1473384,6069191240000.0,3355240158254.4297
manipur,maize,26930.0,64333.29690588592,63089999.99535,152769423.11227718,215767799984.09702,522471427043.988
manipur,rice,236710.0,199252.28091975057,607820000.0144501,576473514.1033691,2163839200051.4421,2052245710207.994
manipur,wheat,2250.0,2304.422174363518,5620000.0,5866259.007650555,18096400000.0,18889354004.63479
meghalaya,maize,18152.0,20799.180319602903,41623999.999945,52537237.7279301,142354079999.8119,179677353029.52094
meghalaya,rice,111141.0,108629.8196803971,304547999.998015,305252259.3025022,1084190879992.9335,1086698043116.9078
meghalaya,wheat,460.0,324.0,887000.0,489244.6830825353,2856140000.0,1575367879.5257635
mizoram,maize,5979.2,22129.460411864962,9470299.99983,43053724.02820132,32388425999.4186,147243736176.44852
mizoram,rice,36114.2,19963.93958813504,59605699.998681605,35846405.22749175,212196291995.30652,127613202609.87062
nagaland,bajra,700.0,0.0,710000.0,0.0,2470800000.0,0.0
nagaland,jowar,270.0,3811.831241470707,260000.0,3811831.241470707,868400000.0,12731516346.512161
nagaland,maize,69010.0,84629.63557716363,136780000.00784,167648130.98250723,467787600026.8128,573356607960.1747
nagaland,ragi,340.0,0.0,330000.0,0.0,1059300000.0,0.0
nagaland,rice,212000.0,193948.53318136567,524440000.02837,497282102.1200199,1867006400100.997,1770324283547.271
nagaland,wheat,3410.0,3340.0,6260000.0,6130646.616541353,20157200000.0,19740682105.263157
odisha,bajra,0.0,0.0,0.0,0.0,0.0,0.0
odisha,jowar,0.0,87761.0,0.0,109776903.52281868,0.0,366654857766.2144
odisha,maize,46942.0,291557.0414569523,117948599.993187,460332195.10505104,403384211976.6995,1574336107259.2747
odisha,ragi,42592.0,74173.28143316961,32646899.996041,40167855.95134155,104796548987.29161,128938817603.80637
odisha,rice,3766390.0,3402505.677109878,6551370000.324329,6462731171.077909,23322877201154.613,23007322969037.355
odisha,wheat,73.0,0.0,157900.0,0.0,508438000.0,0.0
puducherry,bajra,14.0,0.0,39000.000002,0.0,135720000.00696,0.0
puducherry,jowar,5.0,85.3410707614466,15000.0,256023.2122843398,50100000.0,855117529.0296949
puducherry,ragi,45.0,19.172707171068797,130000.0,57518.121513206395,417300000.0,184633170.05739254
puducherry,rice,17371.0,17330.486222067484,55986999.998587996,55864350.869656265,199313719994.97327,198877089095.97632
punjab,bajra,1000.0,0.0,600000.0,0.0,2088000000.0,0.0
punjab,maize,114000.0,77192.22398392239,422750000.002,318417923.9336799,1445805000006.84,1088989299853.1852
punjab,rice,3065000.0,3102807.7760160775,13419700000.060001,13520515632.344166,47774132000213.6,48133035651145.23
punjab,wheat,3512000.0,3512000.0,17832000000.0,17832000000.0,57419040000000.0,57419040000000.0
rajasthan,bajra,4264301.0,4300188.0,3756813000.205883,4518040516.929149,13073709240716.473,15722780998913.44
rajasthan,jowar,509129.0,1067018.155551092,300830999.956607,347041325.01970595,1004775539855.0674,1159118025565.8179
rajasthan,maize,870123.0,319153.9750878429,1763557000.0543451,977895787.07781,6031364940185.86,3344403591806.1104
rajasthan,rice,190641.0,147833.8693610652,450932000.026953,418220506.4193317,1605317920095.9526,1488865002852.8208
rajasthan,wheat,3050258.0,3050258.0,11280500000.0,11280500000.0,36323210000000.0,36323210000000.0
sikkim,maize,38458.0,39614.00388765908,67968000.008488,69941432.95577286,232450560029.02896,239199700708.7432
sikkim,rice,9501.0,8344.996112340923,17636000.002013,16325507.887898104,62784160007.16628,58118808080.91725
sikkim,wheat,172.0,172.0,184999.99999999997,184999.99999999997,595699999.9999999,595699999.9999999
tamil nadu,bajra,63029.0,321748.0,143547999.994287,1152705424.3271408,499547039980.1187,4011414876658.4497
tamil nadu,jowar,385646.0,109860.0,430661000.020576,205126300.42463017,1438407740068.7239,685121843418.2646
tamil nadu,maize,324518.0,1954403.0294943852,2591631999.940649,17686608346.74082,8863381439797.02,60488200545853.62
tamil nadu,ragi,86513.0,215076.01943230088,321332000.004237,744068807.81668,1031475720013.6008,2388460873091.543
tamil nadu,rice,1828865.0,87483.95107331384,6638450000.27899,396272424.8817826,23632882000993.203,1410729832579.146
telangana,bajra,8762.0,557894.0,9258999.999992,575650041.5180321,32221319999.97216,2003262144482.7515
telangana,jowar,67312.0,309709.90011521464,73394999.997054,404919548.0089706,245139299990.16037,1352431290349.9617
telangana,maize,630457.0,526997.8618901061,2752146999.995249,3650871715.87115,9412342739983.752,12485981268279.332
telangana,ragi,1455.0,0.0,1655000.000031,0.0,5312550000.09951,0.0
telangana,rice,1962376.0,1279916.2379946792,6263428999.96556,4542069377.145411,22297807239877.395,16169766982637.662
telangana,wheat,4156.0,0.0,5771000.0,0.0,18582620000.0,0.0
tripura,jowar,857.0,14529.20193785285,702000.000076,13058782.601485247,2344680000.25384,43616333888.960724
tripura,maize,15736.0,0.0,22473000.00067,0.0,76857660002.2914,0.0
tripura,rice,274068.0,276326.79806214717,812091999.981164,822446248.0547763,2891047519932.944,2927908643075.004
tripura,wheat,195.0,0.0,396000.0,0.0,1275120000.0,0.0
uttar pradesh,bajra,925397.0,1606238.0702412634,1795148000.088702,3175302068.3510585,6247115040308.684,11050051197861.684
uttar pradesh,jowar,169145.0,410315.0980736341,214815000.009277,715501603.0240173,717482100030.9852,2389775354100.218
uttar pradesh,maize,724343.0,492867.3665561754,1598892999.962139,1380338142.154172,5468214059870.516,4720756446167.268
uttar pradesh,rice,5923632.0,5942407.201192047,15524822914.795315,15834977596.03959,55268369576671.32,56372520241900.945
uttar pradesh,wheat,9752941.0,9043630.26393688,35643692732.83544,33521977625.499256,114772690599730.12,107940767954107.61
uttarakhand,bajra,0.0,10897.0,0.0,15336551.089093123,0.0,53371197790.04407
uttarakhand,jowar,0.0,583.0,0.0,729252.5695218069,0.0,2435703582.202835
uttarakhand,maize,20872.0,96220.09415242018,42659000.001844995,186620003.241418,145893780006.30988,638240411085.6495
uttarakhand,ragi,101504.0,93903.90584757982,138836000.01141098,127466213.99959315,445663560036.6293,409166546938.694
uttarakhand,rice,260492.0,178330.7950304871,664872000.003892,540169521.6018643,2366944320013.8555,1923003496902.637
uttarakhand,wheat,330401.0,333334.2049695129,929884000.0,952223825.2313663,2994226480000.0,3066160717244.999
west bengal,bajra,30.0,0.0,12000.0,0.0,41760000.0,0.0
west bengal,jowar,6.0,0.0,3000.0,0.0,10020000.0,0.0
west bengal,maize,245228.0,702382.4380268957,1423417000.002898,3873046216.068685,4868086140009.911,13245818058954.902
west bengal,ragi,3379.0,336373.3192588375,3367999.999993,418204943.32723707,10811279999.97753,1342437868080.431
west bengal,rice,5537431.0,4290370.147372988,16302877086.330793,12467622697.019056,58038242427337.625,44384736801387.836
west bengal,wheat,117360.0,574308.0953412789,362744000.0,1587650470.4469275,1168035680000.0,5112234514839.106
