State,Crop,Original Area (Hectare),Optimized Area (Hectare),Original production kg,Optimized production kg,Original calorie,Optimized calorie
andaman and nicobar,maize,43.620000000000005,43.620000000000005,37580.0,37580.0,128523599.99999999,128523599.99999999
andaman and nicobar,rice,5340.55,5340.55,11230140.000475299,11230140.000475299,39979298401.69207,39979298401.69207
andhra pradesh,bajra,48357.0,579563.3312346593,93167999.995384,1390927524.5790682,324224639983.9363,4840427785535.157
andhra pradesh,jowar,139669.0,212536.31101456322,332694000.004442,925704649.1551301,1111197960014.8362,3091853528178.135
andhra pradesh,maize,336540.0,557928.3492560259,2298566367.239729,3229750341.5203447,7861096975959.874,11045746167999.578
andhra pradesh,ragi,34450.0,158299.59016603988,43988999.992251,235708399.3099369,141204689975.1257,756623961784.8975
andhra pradesh,rice,2218186.0,1268912.4183287118,8461342000.051588,5568971135.690862,30122377520183.652,19825537243059.47
andhra pradesh,wheat,38.0,0.0,27000.0,0.0,86940000.0,0.0
arunachal pradesh,maize,50797.0,148210.83132039363,77215999.994573,241070571.0226356,264078719981.43967,824461352897.4138
arunachal pradesh,rice,132000.0,34586.16867960637,233333259.992463,75922407.74226084,830666405573.1682,270283771562.44855
arunachal pradesh,wheat,3930.0,3930.0,7742000.0,7742000.0,24929240000.0,24929240000.0
assam,maize,31537.0,256938.26444853155,98783000.000099,1180399629.2233489,337837860000.33856,4036966731943.8525
assam,rice,2433711.0,2204812.7355514686,5311578811.073875,4913948228.346004,18909220567422.996,17493655692911.771
assam,wheat,17786.0,21283.0,24658000.0,25766000.0,79398760000.0,82966520000.0
bihar,bajra,4379.0,98996.0,4965999.9998469995,111806054.28513601,17281679999.46756,389085068912.2733
bihar,jowar,1358.0,463804.1351778808,1448000.0003590002,499934229.78468454,4836320001.1990595,1669780327480.8464
bihar,maize,742863.0,3089256.834007619,3709649999.988307,13858484893.794321,12687002999960.01,47396018336776.58
bihar,ragi,4211.0,133734.0308145,4183999.9997199997,245213061.629,13430639999.1012,787133927829.09
bihar,rice,3306983.0,1566875.0,8093160999.744022,3833564728.4574647,28811653159088.72,13647490433308.574
bihar,wheat,2129560.0,836688.0,6180748000.0,2474951986.1966305,19902008560000.0,7969345395553.15
chandigarh,maize,0.0,0.0,0.0,0.0,0.0,0.0
chandigarh,rice,10.0,10.0,55000.0,55000.0,195800000.0,195800000.0
chandigarh,wheat,546.0,546.0,2566000.0,2566000.0,8262520000.0,8262520000.0
chhattisgarh,bajra,61.0,0.0,25000.000004999998,0.0,87000000.0174,0.0
chhattisgarh,jowar,0.0,1258328.7456596994,0.0,1573995662.2221065,0.0,5257145511821.836
chhattisgarh,maize,119617.0,2132184.2543403003,306936999.992694,5098200085.035265,1049724539975.0134,17435844290820.607
chhattisgarh,ragi,7274.0,0.0,1651000.001107,0.0,5299710003.55347,0.0
chhattisgarh,rice,3976626.0,713065.0,5718469289.063428,1272946764.22351,20357750669065.805,4531690480635.695
chhattisgarh,wheat,102195.0,102195.0,143283121.8033219,143283121.8033219,461371652206.69653,461371652206.69653
dadra and nagar haveli,jowar,451.0,530.5135106821846,385000.000187,452877.3873876876,1285900000.6245801,1512610473.8748765
dadra and nagar haveli,maize,108.0,0.0,119000.000016,0.0,406980000.05472004,0.0
dadra and nagar haveli,ragi,1135.0,1142.4323731783584,1179999.999895,1187727.04866124,3787799999.6629496,3812603826.20258
dadra and nagar haveli,rice,14226.0,13838.054116139456,29457999.996392004,28702670.106717307,104870479987.15553,102181505579.91362
dadra and nagar haveli,wheat,0.0,409.0,0.0,1111248.429445356,0.0,3578219942.814046
gujarat,bajra,397152.0,1383856.4230487787,964916999.986489,3410764527.7430506,3357911159952.982,11869460556545.814
gujarat,jowar,91198.0,420715.3485233372,125319999.98688799,641719893.6523316,418568799956.20593,2143344444798.7876
gujarat,maize,399984.0,0.0,714739999.96882,0.0,2444410799893.3643,0.0
gujarat,ragi,11880.0,0.0,10646000.001056,0.0,34173660003.389763,0.0
gujarat,rice,855290.0,552469.7248491135,1889808999.945128,1454063152.647746,6727720039804.655,5176464823425.976
gujarat,wheat,1058778.0,457240.50357877056,3101037000.0,1449620473.0191662,9985339140000.0,4667777923121.716
haryana,bajra,510000.0,177718.13856725147,795199999.9061,311309025.8808296,2767295999673.228,1083355410065.287
haryana,jowar,47500.0,131481.86143274853,24699999.9889,65740930.71637426,82497999962.926,219574708592.69003
haryana,maize,6600.0,790917.6090292592,20599999.9996,2307721554.6545906,70451999998.632,7892407716918.7
haryana,rice,1422100.0,886082.3909707407,4880000000.0166,3117333748.2652135,17372800000059.096,11097708143824.16
haryana,wheat,2647900.0,2647900.0,12772800000.0,12772800000.0,41128416000000.0,41128416000000.0
himachal pradesh,bajra,79.0,0.0,58000.000004999994,0.0,201840000.0174,0.0
himachal pradesh,maize,280811.0,152497.09561474598,711113999.997471,490622050.59447485,2432009879991.3506,1677927413033.104
himachal pradesh,ragi,1817.0,0.0,1917999.999727,0.0,6156779999.123671,0.0
himachal pradesh,rice,71613.0,201822.90438525402,114785000.00535199,328392046.1037749,408634600019.0531,1169075684129.4385
himachal pradesh,wheat,342675.0,342675.0,603587000.0,603587000.0,1943550140000.0,1943550140000.0
jammu and kashmir,bajra,12615.0,110101.85922058826,7445199.9988,66322761.183727816,25909295995.824,230803208919.3728
jammu and kashmir,jowar,63.0,27982.0,37600.000011000004,16700368.258854002,125584000.03674,55779229984.572365
jammu and kashmir,maize,302516.0,195616.53222881557,546168600.0052431,483840176.5117235,1867896612017.9312,1654733403670.0947
jammu and kashmir,ragi,8724.0,12023.418025378427,4850400.000086001,6703133.308352664,15569784000.276062,21517057919.812054
jammu and kashmir,rice,273582.0,251849.14077941174,663754592.0218669,648732803.8914098,2362966347597.8467,2309488781853.419
jammu and kashmir,wheat,299336.0,299263.04974580597,640196000.0,640241321.4070641,2061431120000.0,2061577054930.7463
jharkhand,bajra,614.0,0.0,354000.00011100003,0.0,1231920000.38628,0.0
jharkhand,jowar,3329.0,117823.35163846024,2210000.00019,142733051.2827772,7381400000.6346,476728391284.47577
jharkhand,maize,294698.0,8679.490341969708,596732000.020133,20578999.77942539,2040823440068.8547,70380179245.63483
jharkhand,ragi,19013.0,27118.00879754253,18484999.999619998,51528282.382799774,59336849998.7802,165405786448.78726
jharkhand,rice,1735411.0,1897990.6395639973,3421252999.995747,3813460651.1523027,12179660679984.86,13575919918102.197
jharkhand,wheat,220963.0,222416.5096580303,468754000.0,468753999.7436636,1509387880000.0,1509387879174.597
karnataka,bajra,231550.0,72861.0,367252999.983452,116180217.06086257,1278040439942.413,404307155371.80176
karnataka,jowar,1088098.0,2855303.7963755694,1264009999.990292,4984284008.385005,4221793399967.575,16647508588005.918
karnataka,maize,1307008.0,1530749.7360004464,5610664999.96723,6783246156.059623,19188474299887.926,23198701853723.91
karnataka,ragi,777835.0,20565.0,1568292000.032745,49696999.997326,5034217320105.111,159527369991.41647
karnataka,rice,992925.0,13144.46762398448,2907470999.8741,40366307.09900125,10350596759551.797,143704053272.44446
karnataka,wheat,193338.0,98130.0,219087000.0,69824005.68656966,705460140000.0,224833298310.7543
kerala,jowar,0.0,0.0002344118819902,0.0,0.29321692498764307,0.0,979.3445294587278
kerala,ragi,0.0,0.0,0.0,0.0,0.0,0.0
kerala,rice,189086.0,189085.99976558812,521310000.025166,521309999.3822222,1855863600089.5908,1855863597800.711
madhya pradesh,bajra,309940.0,1115892.3551779385,754740000.0433099,2281389321.4256377,2626495200150.7188,7939234838561.219
madhya pradesh,jowar,270040.0,1381067.6448220615,653420000.01099,3255896010.4934916,2182422800036.7065,10874692675048.262
madhya pradesh,maize,1352160.0,948981.7891527528,4812570000.04205,4078483420.663186,16458989400143.812,13948413298668.098
madhya pradesh,ragi,0.0,225000.0,0.0,310543135.26594824,0.0,996843464203.6938
madhya pradesh,rice,2035140.0,317700.0,4899058000.35174,1478037594.2597,17440646481252.195,5261813835564.532
madhya pradesh,wheat,5802980.0,5781618.210847247,20019950000.0,19964480795.64764,64464239000000.0,64285628161985.4
maharashtra,bajra,787833.0,0.0,669176000.0067041,0.0,2328732480023.33,0.0
maharashtra,jowar,3464153.0,4983879.536118295,2389682000.0285788,3970354923.948173,7981537880095.453,13260985445986.898
maharashtra,maize,1063507.0,1461886.8184819522,3125402999.980813,4209194023.309596,10688878259934.38,14395443559718.818
maharashtra,ragi,92817.0,710559.145399753,106410000.001298,835988674.281013,341576100004.16656,2683523644442.052
maharashtra,rice,1450943.0,348970.0,2730800000.09623,965272785.07476,9721648000342.578,3436371114866.1455
maharashtra,wheat,1137731.5,491689.0,1884842000.0,1042000049.1473384,6069191240000.0,3355240158254.4297
manipur,maize,26930.0,107667.61759465633,63089999.99535,253065367.35268444,215767799984.09702,865483556346.1808
manipur,rice,236710.0,151570.0,607820000.0144501,520292429.969,2163839200051.4421,1852241050689.6401
manipur,wheat,2250.0,6652.38240534367,5620000.0,16647066.48411368,18096400000.0,53603554078.84605
meghalaya,maize,18152.0,55354.10082698046,41623999.999945,142239315.7496585,142354079999.8119,486458459863.8321
meghalaya,rice,111141.0,73791.51212756142,304547999.998015,208135606.2134308,1084190879992.9335,740962758119.8136
meghalaya,wheat,460.0,607.3870454581174,887000.0,1011501.7898188222,2856140000.0,3257035763.216607
mizoram,maize,5979.2,38476.36115925827,9470299.99983,64558630.31524065,32388425999.4186,220790515678.12305
mizoram,rice,36114.2,3617.0388407417367,59605699.998681605,7058590.04087183,212196291995.30652,25128580545.503716
nagaland,bajra,700.0,10878.837652343496,710000.0,11966721.417577846,2470800000.0,41644190533.170906
nagaland,jowar,270.0,7544.314376645563,260000.0,7544314.376645563,868400000.0,25198010017.99618
nagaland,maize,69010.0,38746.84797101094,136780000.00784,76735620.0502908,467787600026.8128,262435820571.99448
nagaland,ragi,340.0,0.0,330000.0,0.0,1059300000.0,0.0
nagaland,rice,212000.0,221754.01679038143,524440000.02837,559611776.51361,1867006400100.997,1992217924388.4517
nagaland,wheat,3410.0,6805.98320961856,6260000.0,12546402.770516135,20157200000.0,40399416921.06195
odisha,bajra,0.0,0.0,0.0,0.0,0.0,0.0
odisha,jowar,0.0,448872.0,0.0,561476945.7742581,0.0,1875332998886.0222
odisha,maize,46942.0,1616114.7240483398,117948599.993187,2769951639.005594,403384211976.6995,9473234605399.13
odisha,ragi,42592.0,169613.96760350314,32646899.996041,91455428.51074375,104796548987.29161,293571925519.4875
odisha,rice,3766390.0,1620053.308348157,6551370000.324329,3516472256.829546,23322877201154.613,12518641234313.184
odisha,wheat,73.0,1343.0,157900.0,6715000.0,508438000.0,21622300000.0
puducherry,bajra,14.0,0.0,39000.000002,0.0,135720000.00696,0.0
puducherry,jowar,5.0,87.87257795004777,15000.0,263617.73385014327,50100000.0,880483231.0594785
puducherry,ragi,45.0,26.14523669107683,130000.0,78435.71007323048,417300000.0,251778629.33506984
puducherry,rice,17371.0,17320.982185358873,55986999.998587996,55838364.58839013,199313719994.97327,198784577934.66885
punjab,bajra,1000.0,0.0,600000.0,0.0,2088000000.0,0.0
punjab,maize,114000.0,77192.22398392517,422750000.002,318417923.9336913,1445805000006.84,1088989299853.2244
punjab,rice,3065000.0,3102807.7760160747,13419700000.060001,13520515632.344152,47774132000213.6,48133035651145.18
punjab,wheat,3512000.0,3512000.0,17832000000.0,17832000000.0,57419040000000.0,57419040000000.0
rajasthan,bajra,4264301.0,4369182.0,3756813000.205883,4553378725.170245,13073709240716.473,15845757963592.453
rajasthan,jowar,509129.0,976980.5933972438,300830999.956607,269532795.48172605,1004775539855.0674,900239536908.9648
rajasthan,maize,870123.0,488031.40660275624,1763557000.0543451,1452973718.8996415,6031364940185.86,4969170118636.774
rajasthan,rice,190641.0,0.0,450932000.026953,0.0,1605317920095.9526,0.0
rajasthan,wheat,3050258.0,3050258.0,11280500000.0,11280500000.0,36323210000000.0,36323210000000.0
sikkim,maize,38458.0,41794.38727995441,67968000.008488,73772284.61760443,232450560029.02896,252301213392.20715
sikkim,rice,9501.0,6164.612720045587,17636000.002013,12059973.693470031,62784160007.16628,42933506348.75331
sikkim,wheat,172.0,172.0,184999.99999999997,184999.99999999997,595699999.9999999,595699999.9999999
tamil nadu,bajra,63029.0,602438.4945258661,143547999.994287,1831005248.695249,499547039980.1187,6371898265459.467
tamil nadu,jowar,385646.0,177232.0,430661000.020576,425896667.5307836,1438407740068.7239,1422494869552.8174
tamil nadu,maize,324518.0,1739914.4534416168,2591631999.940649,15639557881.630964,8863381439797.02,53487287955177.89
tamil nadu,ragi,86513.0,27846.05203251711,321332000.004237,113139879.68835764,1031475720013.6008,363179013799.628
tamil nadu,rice,1828865.0,141140.0,6638450000.27899,627938246.031388,23632882000993.203,2235460155871.741
telangana,bajra,8762.0,27135.308931852316,9258999.999992,27174680.899511315,32221319999.97216,94567889530.29938
telangana,jowar,67312.0,671002.0,73394999.997054,726303186.5677694,245139299990.16037,2425852643136.3496
telangana,maize,630457.0,1749490.0,2752146999.995249,10943192309.802544,9412342739983.752,37425717699524.695
telangana,ragi,1455.0,226890.6910681477,1655000.000031,283311971.60035646,5312550000.09951,909431428837.1442
telangana,rice,1962376.0,0.0,6263428999.96556,0.0,22297807239877.395,0.0
telangana,wheat,4156.0,0.0,5771000.0,0.0,18582620000.0,0.0
tripura,jowar,857.0,14529.201937852922,702000.000076,13058782.601485305,2344680000.25384,43616333888.960915
tripura,maize,15736.0,0.0,22473000.00067,0.0,76857660002.2914,0.0
tripura,rice,274068.0,276326.7980621471,812091999.981164,822446248.0547762,2891047519932.944,2927908643075.003
tripura,wheat,195.0,0.0,396000.0,0.0,1275120000.0,0.0
uttar pradesh,bajra,925397.0,1946963.8028432864,1795148000.088702,3845649362.293369,6247115040308.684,13382859780780.924
uttar pradesh,jowar,169145.0,194002.0,214815000.009277,356974643.330738,717482100030.9852,1192295308724.665
uttar pradesh,maize,724343.0,1815275.4709833327,1598892999.962139,4691848760.349217,5468214059870.516,16046122760394.324
uttar pradesh,rice,5923632.0,3833371.8938755603,15524822914.795315,10557879721.539005,55268369576671.32,37586051808678.86
uttar pradesh,wheat,9752941.0,9705844.83229782,35643692732.83544,35582802153.88068,114772690599730.12,114576622935495.78
uttarakhand,bajra,0.0,33363.51911356578,0.0,46956163.659460075,0.0,163407449534.92108
uttarakhand,jowar,0.0,0.0,0.0,0.0,0.0,0.0
uttarakhand,maize,20872.0,80969.0,42659000.001844995,152259802.032135,145893780006.30988,520728522949.9017
uttarakhand,ragi,101504.0,100874.56273917583,138836000.01141098,151255982.7908712,445663560036.6293,485531704758.69653
uttarakhand,rice,260492.0,153641.9181472584,664872000.003892,457544230.3412221,2366944320013.8555,1628857460014.7505
uttarakhand,wheat,330401.0,344420.0,929884000.0,990122065.0152628,2994226480000.0,3188193049349.1465
west bengal,bajra,30.0,0.0,12000.0,0.0,41760000.0,0.0
west bengal,jowar,6.0,0.0,3000.0,0.0,10020000.0,0.0
west bengal,maize,245228.0,1028248.6366556534,1423417000.002898,4769371308.780356,4868086140009.911,16311249876028.82
west bengal,ragi,3379.0,140750.0550484734,3367999.999993,160438831.94570142,10811279999.97753,515008650545.70154
west bengal,rice,5537431.0,4037208.2332743173,16302877086.330793,11507732791.043499,58038242427337.625,40967528736114.85
west bengal,wheat,117360.0,697227.0750215561,362744000.0,1953863348.0040076,1168035680000.0,6291439980572.904
