from,to,value
AP,HR,72992093024.42888
AP,KA,844035722938.934
AP,KL,145928274832.44687
AP,MH,74138272960.85231
AP,PN,138547994266.20816
AP,TN,4554957269128.072
AP,UP,146599209429.37766
AP,WB,734421783165.3662
BR,AP,1510635488352.5447
BR,AS,1550116893063.189
BR,CH,700659623130.951
BR,GJ,303066225563.21857
BR,HR,854050512273.5281
BR,KA,6312811843530.172
BR,KL,853699436425.7861
BR,MH,1145443465899.3276
BR,PN,2319909201878.6543
BR,TN,12614038184084.861
BR,TE,447270630023.21515
BR,UR,9612164147967.514
BR,WB,669940486453.5325
CH,AS,3499497671028.4287
CH,TN,1750740194627.82
CH,WB,8743126475927.306
GJ,AS,975676960692.4159
GJ,HR,6745431583230.475
HR,KA,585834138519.6705
HR,PN,2906782361103.464
KA,AP,1478901841034.2214
KA,AS,200331493084.82993
KA,BR,87763627721.53409
KA,HR,176984334976.6689
KA,KL,450339232594.28107
KA,MH,522447726722.2442
KA,OD,435497352693.8826
KA,PN,174239603762.21167
KA,RJ,87323115304.39897
KA,TN,6487419590034.702
KA,UR,259258500269.2885
KA,WB,539898795554.9045
MP,AP,60080865867.28206
MP,AS,40053910578.18804
MP,BR,742353511099.2301
MP,CH,324812925259.5035
MP,GJ,126376993720.83467
MP,HR,1178816116763.825
MP,KA,152142945709.895
MP,KL,31647828274.917896
MP,PN,3606920096329.3853
MP,TN,1952168307630.2634
MP,TE,375094632861.07544
MP,UP,31504948689.02662
MP,UR,4035641047478.419
MP,WB,726315277582.9342
MH,AP,265450008465.9509
MH,AS,82514840602.74803
MH,BR,334391586336.8777
MH,HR,551345620495.7933
MH,KA,1152745569228.7964
MH,KL,82421339366.93755
MH,PN,523669254695.89136
MH,TN,2889577775026.356
MH,TE,1372504640462.0264
MH,UR,1734759595070.427
MH,WB,353010883711.1075
OD,AS,696190295691.8295
OD,TN,2126993473108.0547
OD,WB,11050335742966.014
TN,KL,49656047432928.125
TE,TN,29037934852537.832
UP,AS,1258120626907.5613
UP,BR,99398279247.86462
UP,HR,1211115880687.0864
UP,KA,122021270451.85872
UP,MH,1425438955251.2412
UP,TN,9172672361714.941
UP,TE,3806377804259.3867
UP,WB,1303683406620.3352
WB,AP,501655428947.2779
WB,AS,84105926701.3918
WB,BR,206780113003.7593
WB,CH,167171172644.9486
WB,GJ,78650236667.89319
WB,KA,2501607327152.083
WB,MH,655691948997.1272
WB,PN,584263406072.998
WB,TN,4426961336488.443
WB,TE,2743612907019.5303
WB,UR,829674850238.814
