State,flow
chhattisgarh,7786527606403.018
tamil nadu,7065500802357.742
andhra pradesh,6515237998255.016
bihar,3979333415598.414
rajasthan,3476569091708.673
haryana,3179562208530.9688
maharashtra,3085415917966.745
karnataka,3056636979366.9844
telangana,2656344466420.1416
jharkhand,2380356902964.3213
uttar pradesh,1981393047462.752
kerala,1902246581489.1155
madhya pradesh,1709915815638.1675
assam,1631096332019.7195
west bengal,1457076986331.8005
uttarakhand,1120662551499.4868
odisha,1082295589228.0317
punjab,758582748030.9493
gujarat,528499642921.43665
nagaland,140023057799.17813
jammu and kashmir,128433624595.18048
tripura,98623182765.07191
goa,59269949843.14812
chandigarh,52177139731.5775
delhi,19705712547.961647
manipur,17362779169.480373
mizoram,11827850746.62865
himachal pradesh,9959266512.649067
arunachal pradesh,1758719217.5671008
meghalaya,192667608.56338853
puducherry,95319014.40078501
daman and diu,0.0
