source_state,target_state,baseline_alt_trade_kcal,staple_deficit_kcal,quantity_kcal,is_new_link,pre_scale_trade_kcal,State,scale_factor,optimized_alt_prod_kcal,pre_scale_alt_trade_kcal,optimized_alt_trade_kcal,capacity_limited,optimized_trade_kcal
andhra pradesh,arunachal pradesh,0.0,191666090.74980915,0.0,True,191666090.74980915,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,191666090.74980915
andhra pradesh,assam,0.0,61065401540.91511,0.0,True,61065401540.91511,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,61065401540.91511
andhra pradesh,bihar,0.0,28922029828.44959,0.0,True,28922029828.44959,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,28922029828.44959
andhra pradesh,chandigarh,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,0.0
andhra pradesh,chhattisgarh,0.0,3853246887.6517105,0.0,True,3853246887.6517105,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,3853246887.6517105
andhra pradesh,delhi,0.0,1588597519.362836,0.0,True,1588597519.362836,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,1588597519.362836
andhra pradesh,goa,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,0.0
andhra pradesh,gujarat,0.0,3633804677.0528007,0.0,True,3633804677.0528007,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,3633804677.0528007
andhra pradesh,haryana,4327732500.0,26894099.082989097,4327732500.0,False,4354626599.082989,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,4354626599.082989
andhra pradesh,himachal pradesh,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,0.0
andhra pradesh,jammu and kashmir,0.0,127980215.09325883,0.0,True,127980215.09325883,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,127980215.09325883
andhra pradesh,jharkhand,0.0,9624051328.635044,0.0,True,9624051328.635044,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,9624051328.635044
andhra pradesh,karnataka,50043240000.0,563429775947.6735,50043240000.0,False,613473015947.6735,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,613473015947.6735
andhra pradesh,kerala,8652150000.0,1092761763119.4248,8652150000.0,False,1101413913119.4248,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,1101413913119.4248
andhra pradesh,madhya pradesh,0.0,1027099500.0,0.0,True,1027099500.0,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,1027099500.0
andhra pradesh,maharashtra,4395690000.0,14036901428.723934,4395690000.0,False,18432591428.723934,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,18432591428.723934
andhra pradesh,manipur,0.0,174020641.12522352,0.0,True,174020641.12522352,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,174020641.12522352
andhra pradesh,meghalaya,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,0.0
andhra pradesh,mizoram,0.0,516585749.35424757,0.0,True,516585749.35424757,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,516585749.35424757
andhra pradesh,nagaland,0.0,5556885764.737156,0.0,True,5556885764.737156,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,5556885764.737156
andhra pradesh,odisha,0.0,36437788333.33333,0.0,True,36437788333.33333,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,36437788333.33333
andhra pradesh,puducherry,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,0.0
andhra pradesh,punjab,8214570000.0,3888479056.6675158,8214570000.0,False,12103049056.667515,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,12103049056.667515
andhra pradesh,rajasthan,0.0,427795783.3333334,0.0,True,427795783.3333334,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,427795783.3333334
andhra pradesh,tamil nadu,270065370000.0,2082763068444.7227,270065370000.0,False,2352828438444.7227,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,2352828438444.7227
andhra pradesh,tripura,0.0,1687405652.1940002,0.0,True,1687405652.1940002,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,1687405652.1940002
andhra pradesh,uttar pradesh,8691930000.0,679740749.7697027,8691930000.0,False,9371670749.769703,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,9371670749.769703
andhra pradesh,uttarakhand,0.0,0.0,0.0,False,0.0,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,0.0
andhra pradesh,west bengal,43544182500.0,70820440460.25986,43544182500.0,False,114364622960.25986,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,114364622960.25986
arunachal pradesh,andhra pradesh,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,assam,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,bihar,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,chandigarh,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
