source_state,target_state,baseline_alt_trade_kcal,staple_deficit_kcal,quantity_kcal,is_new_link,pre_scale_trade_kcal,State,scale_factor,optimized_alt_prod_kcal,pre_scale_alt_trade_kcal,optimized_alt_trade_kcal,capacity_limited,optimized_trade_kcal
chhattisgarh,andhra pradesh,0.0,1778100944489.1355,0.0,True,1778100944489.1355,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,1778100944489.1355
chhattisgarh,jharkhand,0.0,1632141344295.5562,0.0,True,1632141344295.5562,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,1632141344295.5562
chhattisgarh,bihar,0.0,1008677248317.3982,0.0,True,1008677248317.3982,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,1008677248317.3982
chhattisgarh,maharashtra,0.0,930740298349.3759,0.0,True,930740298349.3759,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,930740298349.3759
odisha,jharkhand,0.0,715296007446.4419,0.0,True,715296007446.4419,odisha,1.0,11642139529804.64,1012877810722.0178,1012877810722.0178,False,715296007446.4419
rajasthan,assam,0.0,682062387666.6666,0.0,True,682062387666.6666,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,682062387666.6666
rajasthan,uttar pradesh,0.0,641704536666.6666,0.0,True,641704536666.6666,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,641704536666.6666
rajasthan,bihar,0.0,548275006666.6666,0.0,True,548275006666.6666,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,548275006666.6666
haryana,maharashtra,0.0,512703894078.27246,0.0,True,512703894078.27246,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,512703894078.27246
rajasthan,maharashtra,0.0,463628293333.3334,0.0,True,463628293333.3334,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,463628293333.3334
rajasthan,karnataka,0.0,460718883333.3334,0.0,True,460718883333.3334,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,460718883333.3334
telangana,kerala,0.0,457648383333.3334,0.0,True,457648383333.3334,telangana,1.0,40855569661028.484,2288415308516.667,2288415308516.667,False,457648383333.3334
haryana,uttar pradesh,0.0,433554304543.1362,0.0,True,433554304543.1362,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,433554304543.1362
haryana,bihar,0.0,416737658445.5737,0.0,True,416737658445.5737,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,416737658445.5737
haryana,assam,0.0,415301781125.64734,0.0,True,415301781125.64734,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,415301781125.64734
chhattisgarh,karnataka,0.0,317393131753.69525,0.0,True,317393131753.69525,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,317393131753.69525
rajasthan,gujarat,0.0,218567980000.0,0.0,True,218567980000.0,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,218567980000.0
chhattisgarh,kerala,0.0,174586998575.52768,0.0,True,174586998575.52768,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,174586998575.52768
telangana,west bengal,0.0,157726512000.0,0.0,True,157726512000.0,telangana,1.0,40855569661028.484,2288415308516.667,2288415308516.667,False,157726512000.0
haryana,tamil nadu,0.0,153637265882.77798,0.0,True,153637265882.77798,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,153637265882.77798
odisha,bihar,0.0,149315845392.5847,0.0,True,149315845392.5847,odisha,1.0,11642139529804.64,1012877810722.0178,1012877810722.0178,False,149315845392.5847
telangana,karnataka,0.0,147574282000.0,0.0,True,147574282000.0,telangana,1.0,40855569661028.484,2288415308516.667,2288415308516.667,False,147574282000.0
haryana,gujarat,0.0,115546740366.18585,0.0,True,115546740366.18585,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,115546740366.18585
uttarakhand,assam,0.0,111944052931.08946,0.0,True,111944052931.08946,uttarakhand,1.0,1169667677243.5193,221395456784.33456,221395456784.33456,False,111944052931.08946
rajasthan,jammu and kashmir,0.0,97694113333.33334,0.0,True,97694113333.33334,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,97694113333.33334
madhya pradesh,maharashtra,0.0,70735311785.47583,0.0,True,70735311785.47583,madhya pradesh,1.0,33759184276481.273,1591549852305.2554,1591549852305.2554,False,70735311785.47583
chhattisgarh,madhya pradesh,0.0,67264115185.721306,0.0,True,67264115185.721306,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,67264115185.721306
rajasthan,nagaland,0.0,65230176666.66668,0.0,True,65230176666.66668,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,65230176666.66668
andhra pradesh,assam,0.0,61065401540.91511,0.0,True,61065401540.91511,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,61065401540.91511
uttarakhand,bihar,0.0,52100944537.63078,0.0,True,52100944537.63078,uttarakhand,1.0,1169667677243.5193,221395456784.33456,221395456784.33456,False,52100944537.63078
chhattisgarh,gujarat,0.0,43423075211.41471,0.0,True,43423075211.41471,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,43423075211.41471
haryana,tripura,0.0,43122825572.27327,0.0,True,43122825572.27327,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,43122825572.27327
haryana,kerala,0.0,42085549459.429214,0.0,True,42085549459.429214,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,42085549459.429214
haryana,chandigarh,0.0,41086421104.45422,0.0,True,41086421104.45422,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,41086421104.45422
andhra pradesh,odisha,0.0,36437788333.33333,0.0,True,36437788333.33333,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,36437788333.33333
haryana,nagaland,0.0,35964655984.04028,0.0,True,35964655984.04028,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,35964655984.04028
tamil nadu,karnataka,0.0,35109893187.60546,0.0,True,35109893187.60546,tamil nadu,1.0,61644860103989.805,161848391202.20853,161848391202.20853,False,35109893187.60546
haryana,west bengal,0.0,35107831624.71165,0.0,True,35107831624.71165,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,35107831624.71165
tamil nadu,telangana,0.0,31336236803.314865,0.0,True,31336236803.314865,tamil nadu,1.0,61644860103989.805,161848391202.20853,161848391202.20853,False,31336236803.314865
andhra pradesh,bihar,0.0,28922029828.44959,0.0,True,28922029828.44959,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,28922029828.44959
assam,tripura,0.0,25765184126.011272,0.0,True,25765184126.011272,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,25765184126.011272
odisha,karnataka,0.0,25731091662.048634,0.0,True,25731091662.048634,odisha,1.0,11642139529804.64,1012877810722.0178,1012877810722.0178,False,25731091662.048634
tamil nadu,chhattisgarh,0.0,24947394807.173977,0.0,True,24947394807.173977,tamil nadu,1.0,61644860103989.805,161848391202.20853,161848391202.20853,False,24947394807.173977
chhattisgarh,goa,0.0,23904393448.141434,0.0,True,23904393448.141434,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,23904393448.141434
haryana,jammu and kashmir,0.0,21249908482.413734,0.0,True,21249908482.413734,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,21249908482.413734
uttar pradesh,gujarat,0.0,21206474464.52169,0.0,True,21206474464.52169,uttar pradesh,1.0,30621277849899.914,643378851216.117,643378851216.117,False,21206474464.52169
rajasthan,west bengal,0.0,20416006666.666668,0.0,True,20416006666.666668,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,20416006666.666668
uttar pradesh,tripura,0.0,17505718999.34027,0.0,True,17505718999.34027,uttar pradesh,1.0,30621277849899.914,643378851216.117,643378851216.117,False,17505718999.34027
rajasthan,goa,0.0,16742383333.333332,0.0,True,16742383333.333332,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,16742383333.333332
tamil nadu,punjab,0.0,15945686302.86706,0.0,True,15945686302.86706,tamil nadu,1.0,61644860103989.805,161848391202.20853,161848391202.20853,False,15945686302.86706
gujarat,punjab,0.0,15914585752.012886,0.0,True,15914585752.012886,gujarat,1.0,14012805001344.602,75387742282.43512,75387742282.43512,False,15914585752.012886
telangana,bihar,0.0,15237393333.333332,0.0,True,15237393333.333332,telangana,1.0,40855569661028.484,2288415308516.667,2288415308516.667,False,15237393333.333332
chhattisgarh,punjab,0.0,15121992192.149057,0.0,True,15121992192.149057,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,15121992192.149057
rajasthan,kerala,0.0,14961493333.333332,0.0,True,14961493333.333332,rajasthan,1.0,21715167619138.19,3455371498999.999,3455371498999.999,False,14961493333.333332
tamil nadu,andhra pradesh,0.0,12384701765.257298,0.0,True,12384701765.257298,tamil nadu,1.0,61644860103989.805,161848391202.20853,161848391202.20853,False,12384701765.257298
haryana,goa,0.0,11999398669.03685,0.0,True,11999398669.03685,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,11999398669.03685
gujarat,uttar pradesh,0.0,11766997595.241993,0.0,True,11766997595.241993,gujarat,1.0,14012805001344.602,75387742282.43512,75387742282.43512,False,11766997595.241993
uttar pradesh,nagaland,0.0,11223147542.27076,0.0,True,11223147542.27076,uttar pradesh,1.0,30621277849899.914,643378851216.117,643378851216.117,False,11223147542.27076
uttarakhand,nagaland,0.0,10985964936.175173,0.0,True,10985964936.175173,uttarakhand,1.0,1169667677243.5193,221395456784.33456,221395456784.33456,False,10985964936.175173
uttar pradesh,andhra pradesh,0.0,10633058656.658329,0.0,True,10633058656.658329,uttar pradesh,1.0,30621277849899.914,643378851216.117,643378851216.117,False,10633058656.658329
uttarakhand,gujarat,0.0,10620783415.883205,0.0,True,10620783415.883205,uttarakhand,1.0,1169667677243.5193,221395456784.33456,221395456784.33456,False,10620783415.883205
haryana,delhi,0.0,10560713845.581867,0.0,True,10560713845.581867,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,10560713845.581867
haryana,madhya pradesh,0.0,10488008076.721878,0.0,True,10488008076.721878,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,10488008076.721878
uttar pradesh,kerala,0.0,9883599682.49678,0.0,True,9883599682.49678,uttar pradesh,1.0,30621277849899.914,643378851216.117,643378851216.117,False,9883599682.49678
andhra pradesh,jharkhand,0.0,9624051328.635044,0.0,True,9624051328.635044,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,9624051328.635044
tamil nadu,madhya pradesh,0.0,8776523233.333334,0.0,True,8776523233.333334,tamil nadu,1.0,61644860103989.805,161848391202.20853,161848391202.20853,False,8776523233.333334
maharashtra,gujarat,0.0,8650332625.700375,0.0,True,8650332625.700375,maharashtra,1.0,30339952650147.77,966577489308.4631,966577489308.4631,False,8650332625.700375
uttarakhand,karnataka,0.0,8647732393.785625,0.0,True,8647732393.785625,uttarakhand,1.0,1169667677243.5193,221395456784.33456,221395456784.33456,False,8647732393.785625
tamil nadu,rajasthan,0.0,8123598466.666666,0.0,True,8123598466.666666,tamil nadu,1.0,61644860103989.805,161848391202.20853,161848391202.20853,False,8123598466.666666
haryana,manipur,0.0,7647018103.397718,0.0,True,7647018103.397718,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,7647018103.397718
tamil nadu,haryana,0.0,7553928453.867128,0.0,True,7553928453.867128,tamil nadu,1.0,61644860103989.805,161848391202.20853,161848391202.20853,False,7553928453.867128
uttarakhand,tripura,0.0,7416240683.069052,0.0,True,7416240683.069052,uttarakhand,1.0,1169667677243.5193,221395456784.33456,221395456784.33456,False,7416240683.069052
uttar pradesh,punjab,0.0,7276031203.04385,0.0,True,7276031203.04385,uttar pradesh,1.0,30621277849899.914,643378851216.117,643378851216.117,False,7276031203.04385
telangana,jharkhand,0.0,7115550000.0,0.0,True,7115550000.0,telangana,1.0,40855569661028.484,2288415308516.667,2288415308516.667,False,7115550000.0
haryana,mizoram,0.0,6826412682.720058,0.0,True,6826412682.720058,haryana,1.0,9195337835576.678,2854727029318.7573,2854727029318.7573,False,6826412682.720058
karnataka,madhya pradesh,0.0,6823384743.921679,0.0,True,6823384743.921679,karnataka,1.0,40410044967093.05,498033281436.85516,498033281436.85516,False,6823384743.921679
chhattisgarh,odisha,0.0,6802599432.956355,0.0,True,6802599432.956355,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,6802599432.956355
telangana,madhya pradesh,0.0,6750947350.0,0.0,True,6750947350.0,telangana,1.0,40855569661028.484,2288415308516.667,2288415308516.667,False,6750947350.0
chhattisgarh,nagaland,0.0,6665790984.908155,0.0,True,6665790984.908155,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,6665790984.908155
assam,manipur,0.0,6284787507.031681,0.0,True,6284787507.031681,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,6284787507.031681
chhattisgarh,jammu and kashmir,0.0,6007855818.704673,0.0,True,6007855818.704673,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,6007855818.704673
maharashtra,goa,0.0,5944794891.297163,0.0,True,5944794891.297163,maharashtra,1.0,30339952650147.77,966577489308.4631,966577489308.4631,False,5944794891.297163
uttarakhand,chandigarh,0.0,5635610240.770937,0.0,True,5635610240.770937,uttarakhand,1.0,1169667677243.5193,221395456784.33456,221395456784.33456,False,5635610240.770937
andhra pradesh,nagaland,0.0,5556885764.737156,0.0,True,5556885764.737156,andhra pradesh,1.0,19734651443497.77,4381176287818.3115,4381176287818.3115,False,5556885764.737156
karnataka,uttar pradesh,0.0,5184138264.904892,0.0,True,5184138264.904892,karnataka,1.0,40410044967093.05,498033281436.85516,498033281436.85516,False,5184138264.904892
maharashtra,madhya pradesh,0.0,5036973611.032674,0.0,True,5036973611.032674,maharashtra,1.0,30339952650147.77,966577489308.4631,966577489308.4631,False,5036973611.032674
gujarat,madhya pradesh,0.0,4893376880.464175,0.0,True,4893376880.464175,gujarat,1.0,14012805001344.602,75387742282.43512,75387742282.43512,False,4893376880.464175
