State,original_alt_prod_kcal,optimized_alt_prod_kcal,original_alt_trade_kcal,staple_deficit_kcal,pre_scale_alt_trade_kcal,new_link_count,surplus_alt_prod_kcal,scale_factor,optimized_alt_trade_kcal,capacity_limited
chhattisgarh,1055111249978.5844,22692989802642.445,23396165000.0,7667910376080.305,7691306541080.305,22,21637878552663.86,1.0,7691306541080.305,False
andhra pradesh,9437724265933.771,19734651443497.77,397934865000.0,3983241422818.3115,4381176287818.3115,15,10296927177563.998,1.0,4381176287818.3115,False
rajasthan,20109849720757.4,21715167619138.19,28269354666.666664,3427102144333.3325,3455371498999.999,15,1605317898380.793,1.0,3455371498999.999,False
haryana,2920245999634.786,9195337835576.678,36125846500.0,2818601182818.7573,2854727029318.7573,24,6275091835941.892,1.0,2854727029318.7573,False
telangana,9695015909973.984,40855569661028.484,82898205000.0,2205517103516.667,2288415308516.667,13,31160553751054.5,1.0,2288415308516.667,False
madhya pradesh,21267907400331.24,33759184276481.273,1242101192000.0,349448660305.25555,1591549852305.2554,8,12491276876150.035,1.0,1591549852305.2554,False
bihar,12722551639959.777,50242017660998.79,1469004127500.0,94664009892.52734,1563668137392.5276,6,37519466021039.016,1.0,1563668137392.5276,False
odisha,508180760963.99115,11642139529804.64,113712235000.0,899165575722.0178,1012877810722.0178,6,11133958768840.65,1.0,1012877810722.0178,False
maharashtra,21340724720057.332,30339952650147.77,663704539000.0,302872950308.4634,966577489308.4631,10,8999227930090.438,1.0,966577489308.4631,False
uttar pradesh,12432811200210.184,30621277849899.914,426870393333.3333,216508457882.78372,643378851216.117,20,18188466649689.73,1.0,643378851216.117,False
karnataka,29722525459903.023,40410044967093.05,355459494000.0,142573787436.85516,498033281436.85516,5,10687519507190.023,1.0,498033281436.85516,False
west bengal,4878949200009.889,16826258526574.521,447811747500.0,41180230946.51265,488991978446.51263,3,11947309326564.633,1.0,488991978446.51263,False
uttarakhand,591557340042.9392,1169667677243.5193,0.0,221395456784.33456,221395456784.33456,23,578110337200.5801,1.0,221395456784.33456,False
tamil nadu,11832811939859.463,61644860103989.805,2923830000.0,158924561202.20853,161848391202.20853,12,49812048164130.34,1.0,161848391202.20853,False
gujarat,6255064419805.942,14012805001344.602,19377852333.333332,56009889949.10179,75387742282.43512,13,7757740581538.659,1.0,75387742282.43512,False
assam,337837860000.33856,4036966731943.8525,0.0,37971388865.249214,37971388865.249214,17,3699128871943.514,1.0,37971388865.249214,False
punjab,1447893000006.84,1088989299853.2244,8804640000.0,0.0,8804640000.0,0,-358903700153.6157,1.0,8804640000.0,False
mizoram,32388425999.4186,220790515678.12305,0.0,2233219823.275084,2233219823.275084,2,188402089678.70444,1.0,2233219823.275084,False
tripura,79202340002.54524,43616333888.960915,0.0,1530507591.5859685,1530507591.5859685,3,-35586006113.58433,1.0,1530507591.5859685,False
manipur,215767799984.09702,865483556346.1808,0.0,567912259.9697248,567912259.9697248,3,649715756362.0837,1.0,567912259.9697248,False
jammu and kashmir,1909501276014.068,1962832900493.852,0.0,272495536.49254644,272495536.49254644,2,53331624479.783936,1.0,272495536.49254644,False
arunachal pradesh,264078719981.43967,824461352897.4138,0.0,256154985.25352672,256154985.25352672,2,560382632915.9741,1.0,256154985.25352672,False
kerala,0.0,979.3445294587278,0.0,95403995751.76161,95403995751.76161,10,979.3445294587278,1.0265235976142482e-08,979.3445294587278,True
jharkhand,2108773610068.656,712514356978.898,0.0,0.5071380436420441,0.5071380436420441,2,-1396259253089.758,1.0,0.5071380436420441,False
nagaland,472186100026.8128,329278021123.16156,0.0,0.0,0.0,0,-142908078903.65125,0.0,0.0,False
meghalaya,142354079999.8119,486458459863.8321,0.0,0.0,0.0,0,344104379864.0202,0.0,0.0,False
puducherry,603120000.00696,1132261860.3945484,0.0,0.0,0.0,0,529141860.3875884,0.0,0.0,False
himachal pradesh,2438368499990.4917,1677927413033.104,0.0,0.0,0.0,0,-760441086957.3877,0.0,0.0,False
sikkim,232450560029.02896,252301213392.20715,0.0,0.0,0.0,0,19850653363.178192,0.0,0.0,False
goa,0.0,0.0,0.0,6814652166.666666,6814652166.666666,4,0.0,0.0,0.0,True
delhi,0.0,0.0,2940405000.0,130187056016.66669,133127461016.66669,13,0.0,0.0,0.0,True
daman and diu,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
dadra and nagar haveli,5480680000.34225,5325214300.077456,0.0,0.0,0.0,0,-155465700.2647934,0.0,0.0,False
chandigarh,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,False
andaman and nicobar,128523599.99999999,128523599.99999999,0.0,0.0,0.0,0,0.0,0.0,0.0,False
