from,to,value
AP,AS,91913889459.08488
AP,BR,40178225171.55041
AP,CH,6045788812.3482895
AP,GJ,6861687639.613866
AP,HR,51781900.9170109
AP,JK,246413118.24007455
AP,JH,18530149338.03162
AP,KA,1061295930718.9934
AP,KL,2098521439213.9082
AP,MH,27026651337.94273
AP,NL,5217065568.596178
AP,PN,7486877943.332484
AP,TN,4008775855888.6113
AP,UP,1035052250.2302973
AP,WB,115931963539.74013
AS,AP,722836964.6235493
AS,BR,721923639.9551928
AS,CH,72539216.74532844
AS,CH,215271035.392351
AS,HR,14940444995.262142
AS,KA,68683083.58122754
AS,MP,307403663.91164464
AS,MH,356487846.56137806
AS,NL,20927578495.549694
AS,PN,46513769070.98537
AS,UP,5733619349.742365
AS,WB,1214816478.9457245
BR,AP,865127668.7633581
BR,AS,6137191124.986719
BR,CH,400948390.1480424
BR,CH,37351525.949792184
BR,HR,17114572598.499891
BR,KA,261959448.8450074
BR,MP,1376201493.1916912
BR,NL,285275773.8652562
BR,PN,41512385611.82795
BR,RJ,108437028.6195166
BR,TN,895662089.0229337
BR,UP,896302424.7172463
BR,WB,3181429497.8437815
CH,AP,714840000.0
CH,AS,17212896666.666668
CH,BR,37099128333.33332
CH,CH,712425000.0
CH,GJ,1431290000.0
CH,JK,3858743333.333333
CH,KA,16747723333.33333
CH,KL,784090000.0
CH,MH,1497320000.0
CH,NL,1570850000.0
CH,OD,710815000.0
CH,TN,3840138333.333333
CH,UP,8250011666.666666
CH,AP,509147761844.198
CH,AS,26793356071.79759
CH,BR,288828238349.26855
CH,CH,352052864.8938728
CH,GJ,12433918121.918617
CH,HR,1359066809.7605314
CH,JK,1720310847.9619932
CH,JH,467353169704.4439
CH,KA,90883480579.63812
CH,KL,49991863424.47232
CH,MP,19617824980.945377
CH,MH,266511494317.29083
CH,NL,1908706348.4251788
CH,OD,1947880567.043645
CH,PN,4330085141.184274
CH,RJ,101039370.34095393
CH,TN,343082635245.3216
CH,UP,526131152.61854905
CH,WB,100612786081.70268
GJ,AP,1750320574.5220094
GJ,AS,330486073.2621803
GJ,BR,13490299.419736689
GJ,HR,7180756013.981209
GJ,JK,1095758204.573235
GJ,KA,3926809757.958984
GJ,KL,638719810.6239884
GJ,MP,4295427102.869159
GJ,MH,2682823902.1260533
GJ,PN,23450927347.98711
GJ,RJ,570470115.2271872
GJ,TN,2082876340.8076181
GJ,UP,10502181904.758005
GJ,WB,999987863.7618811
HR,AP,171691044000.0
HR,AS,868136239707.686
HR,BR,1844525191387.7595
HR,CH,104067627228.8791
HR,CH,121395717333.33333
HR,GJ,1360640100967.1475
HR,JK,63956456517.58627
HR,JH,147385690579.7501
HR,KA,1124106430558.8906
HR,KL,290772662373.9041
HR,MP,129103118923.27814
HR,MH,2643768374921.7275
HR,NL,70702104015.95973
HR,OD,496323315482.63446
HR,PN,6975056666.666667
HR,RJ,1112155641564.9478
HR,TN,545985037617.22205
HR,UP,3326840858790.1973
HR,WB,2230642157041.955
JK,HR,587028265.6384289
JK,PN,17289955581.20236
JK,UP,214145158.90898198
JH,AP,21084107672.715794
JH,BR,1577408787.2352433
JH,CH,17190350091.68138
JH,HR,1912061089.8675256
JH,OD,28634994311.69169
JH,PN,5136028016.818278
JH,UP,213888499.88303587
JH,WB,713498332.9431593
KA,AP,505536850.2389365
KA,AS,10696564.883040352
KA,BR,22679647.321236175
KA,GJ,179042645.6702114
KA,HR,782429265.2906775
KA,KL,4681984991.219813
KA,MP,3191923472.744988
KA,MH,31063130.920435224
KA,OD,23744026.31528861
KA,PN,1156472705.6595192
KA,RJ,836247000.5061641
KA,TN,685033349.8647385
KA,UP,2425097401.761775
KA,WB,22399144.89584532
KL,AP,4583126194.347524
KL,CH,1091495998.6538324
KL,HR,1434116331.564604
KL,KA,785869999.0307682
KL,PN,2737817996.6233854
KL,TN,253872796353.55945
MP,AP,931353346863.9585
MP,AS,90827495293.24728
MP,BR,353686323532.0879
MP,CH,183305633466.77722
MP,GJ,838153985959.4203
MP,HR,63142647305.98542
MP,JK,76378495738.12325
MP,JH,68966979022.33493
MP,KA,1141001240620.8115
