State,flow
punjab,42418139430203.76
haryana,17720495401553.594
uttar pradesh,15808375635247.62
madhya pradesh,13141626920903.037
maharashtra,12758823035277.406
tamil nadu,10777824809670.414
west bengal,10703146546059.527
andhra pradesh,9920505489096.45
karnataka,9409500689834.201
bihar,8991512661069.514
odisha,7735946294296.363
assam,6722262842004.597
gujarat,6462598638078.463
kerala,4467137627863.805
rajasthan,4027322642736.957
chhattisgarh,2650156803305.6235
jharkhand,2083583199947.217
jammu and kashmir,1454959158885.2075
nagaland,1316063399324.02
chandigarh,1196863518306.6584
delhi,1131655175254.1196
tripura,857874277687.6229
uttarakhand,842995999635.5372
himachal pradesh,227171686146.77945
goa,212893588383.77475
manipur,208901481951.76385
telangana,127434404907.59673
mizoram,116442579035.34634
arunachal pradesh,10612983797.87164
meghalaya,340739058.1032781
puducherry,11415935.599214999
andaman and nicobar,0.0
sikkim,0.0
daman and diu,0.0
dadra and nagar haveli,0.0
lakshadeep,0.0
