State,original_rw_trade_kcal,optimized_rw_trade_kcal,diff_rw_trade_kcal
punjab,41315576899000.0,41449983613515.04,134406714515.03326
haryana,20108466196500.0,17289865013681.238,-2818601182818.7573
madhya pradesh,12818410246000.0,12468961585694.748,-349448660305.25543
andhra pradesh,11478999485733.334,7495758062915.022,-3983241422818.3125
odisha,2925689545566.6665,5551538053491.914,2625848507925.2476
uttar pradesh,5075102647233.333,4858594189350.55,-216508457882.78372
chhattisgarh,9864166995000.0,2196256618919.695,-7667910376080.306
rajasthan,5461633475566.667,2034531331233.3333,-3427102144333.3325
west bengal,346080430466.6667,731134010336.3008,385053579869.63416
nagaland,489126869816.6667,681557359978.3496,192430490161.683
assam,589140617383.3333,551182447615.3291,-37958169768.00421
uttarakhand,753611371166.6667,532215914382.3322,-221395456784.33456
kerala,380618444666.6667,285214448914.905,-95403995751.76163
maharashtra,508815843333.3333,205942893024.87006,-302872950308.46344
chandigarh,96003791666.66666,96003791666.66666,0.0
jharkhand,69448042266.66667,76462336802.83612,7014294536.169435
bihar,169552071033.3333,74888061140.80603,-94664009892.5273
tripura,65848071533.333336,65039856466.2556,-808215067.0777394
gujarat,115862490083.33333,59852600134.23154,-56009889949.10179
jammu and kashmir,18363609383.333332,18091129005.749767,-272480377.5835654
karnataka,157164831566.66666,14591044129.811483,-142573787436.85516
tamil nadu,167612351266.66666,8687790064.458117,-158924561202.20856
manipur,3943768000.0,3375855740.0302753,-567912259.9697248
himachal pradesh,1407676666.6666667,1407676666.6666667,0.0
mizoram,2527943000.0,294723176.72491604,-2233219823.275084
arunachal pradesh,415284666.6666666,159129681.41313994,-256154985.25352672
telangana,2205517103516.667,0.0,-2205517103516.6665
sikkim,0.0,0.0,0.0
andaman and nicobar,0.0,0.0,0.0
puducherry,0.0,0.0,0.0
meghalaya,0.0,0.0,0.0
goa,6814652166.666666,0.0,-6814652166.666666
delhi,130187056016.66666,0.0,-130187056016.66667
daman and diu,0.0,0.0,0.0
dadra and nagar haveli,0.0,0.0,0.0
lakshadeep,0.0,0.0,0.0
