season,Crop,original_area_ha,optimized_area_ha,delta_ha,pct_change
kharif,bajra,7286546.0,9614987.573894901,2328441.573894901,31.95535407166717
kharif,jowar,2041066.0,9220434.872671891,7179368.872671891,351.746042150126
kharif,maize,7470863.0,15892925.192543728,8422062.192543728,112.7321193353931
kharif,ragi,1103945.0,1773893.8152003065,669948.8152003065,60.686792838439096
kharif,rice,40085352.75,21485531.295689173,-18599821.454310827,-46.40054328650214
rabi,bajra,279267.0,913963.4964212294,634696.4964212294,227.2722865291028
rabi,jowar,4197163.0,5123268.354125511,926105.3541255109,22.0650318828578
rabi,maize,1968674.82,4258241.262226569,2289566.4422265682,116.29987944004729
rabi,ragi,91039.0,180549.28410459394,89510.28410459394,98.32081207459873
rabi,rice,4459552.0,2619791.989312446,-1839760.0106875538,-41.2543683914338
rabi,wheat,30731432.5,28631313.93380965,-2100118.566190351,-6.833780254761475
