source_crop,target_crop,flow_type,flow_ha
bajra,bajra,retained,132842.60897459945
bajra,jowar,reallocated,23530.0
bajra,maize,reallocated,10477.0
bajra,ragi,reallocated,316.0
bajra,rice,reallocated,37214.0
bajra,wheat,reallocated,74887.39102540056
jowar,bajra,reallocated,3357.0
jowar,jowar,retained,3453728.543491089
jowar,maize,reallocated,306738.0
jowar,ragi,reallocated,47601.0
jowar,rice,reallocated,96848.81401966263
jowar,wheat,reallocated,288889.6424892489
maize,bajra,reallocated,56832.04523350031
maize,jowar,reallocated,372700.9547664997
maize,maize,retained,747804.4845465093
maize,ragi,reallocated,24602.0
maize,rice,reallocated,404673.24150666635
maize,wheat,reallocated,362062.0939468243
ragi,bajra,reallocated,3389.0
ragi,jowar,reallocated,29004.0
ragi,maize,reallocated,13826.0
ragi,ragi,retained,13266.457316120574
ragi,rice,reallocated,31279.0
ragi,wheat,reallocated,274.542683879426
rice,bajra,reallocated,77593.42995904194
rice,jowar,reallocated,369563.55378522375
rice,maize,reallocated,468565.70755648235
rice,ragi,reallocated,123300.15133008595
rice,rice,retained,2859248.062027344
rice,wheat,reallocated,561281.0953412789
wheat,bajra,reallocated,235593.15216176832
wheat,jowar,reallocated,1051789.5466130092
wheat,maize,reallocated,1450775.044558411
wheat,ragi,reallocated,12254.20525913658
wheat,rice,reallocated,867096.1645374313
wheat,wheat,retained,27113924.386870243
