season,Crop,original_area_ha,optimized_area_ha,delta_ha,pct_change
kharif,bajra,7286546.0,8414830.382182883,1128284.382182883,15.484488565403732
kharif,jowar,2041066.0,7994134.389533874,5953068.389533874,291.66466883157494
kharif,maize,7470863.0,11182688.316152083,3711825.3161520828,49.68402333374448
kharif,ragi,1103945.0,2593937.9440335636,1489992.9440335636,134.9698530301386
kharif,rice,40085352.75,27802181.718097597,-12283171.031902403,-30.642541949197152
rabi,bajra,279267.0,509607.2363289098,230340.2363289098,82.48029173833994
rabi,jowar,4197163.0,5300316.598655822,1103153.5986558218,26.283315626670245
rabi,maize,1968674.82,2998186.236661405,1029511.4166614048,52.29464034397539
rabi,ragi,91039.0,221339.8139053431,130300.8139053431,143.12636771641067
rabi,rice,4459552.0,4296359.282091104,-163192.71790889557,-3.659397130225089
rabi,wheat,30731432.5,28401319.152357414,-2330113.3476425856,-7.582182664744267
