source_crop,target_crop,flow_type,flow_ha
bajra,bajra,retained,4048050.413718138
bajra,jowar,reallocated,1653798.1302212346
bajra,maize,reallocated,866276.3412018347
bajra,ragi,reallocated,252943.7225751548
bajra,rice,reallocated,465477.3922836378
jowar,bajra,reallocated,647093.3144010096
jowar,jowar,retained,584674.3485233372
jowar,maize,reallocated,597862.5885173513
jowar,ragi,reallocated,94438.68981944541
jowar,rice,reallocated,116997.0587388565
maize,bajra,reallocated,1284208.4693993926
maize,jowar,reallocated,2009489.2736107172
maize,maize,retained,2810890.1715025664
maize,ragi,reallocated,231532.43657820276
maize,rice,reallocated,1134742.648909121
ragi,bajra,reallocated,29865.51843660545
ragi,jowar,reallocated,415647.45667617046
ragi,maize,reallocated,466538.7506947788
ragi,ragi,retained,106833.56273917583
ragi,rice,reallocated,85059.71145326948
rice,bajra,reallocated,3605769.857939755
rice,jowar,reallocated,4556825.66364043
rice,maize,reallocated,11151357.340627197
rice,ragi,reallocated,1088145.4034883277
rice,rice,retained,19683254.48430429
