source_crop,target_crop,flow_type,flow_ha
bajra,bajra,retained,182813.4964212294
bajra,jowar,reallocated,19812.059931324762
bajra,maize,reallocated,15179.03913881541
bajra,ragi,reallocated,279.9009298598279
bajra,rice,reallocated,29629.0
bajra,wheat,reallocated,31553.503578770586
jowar,bajra,reallocated,4671.0
jowar,jowar,retained,3423169.0
jowar,maize,reallocated,422828.15459505457
jowar,ragi,reallocated,4498.845404945431
jowar,rice,reallocated,2406.0
jowar,wheat,reallocated,339590.0
maize,bajra,reallocated,78460.0
maize,jowar,reallocated,462045.78037246113
maize,maize,retained,881306.3364140532
maize,ragi,reallocated,29728.12080814199
maize,rice,reallocated,171622.2
maize,wheat,reallocated,345512.3824053437
ragi,bajra,reallocated,3389.0
ragi,jowar,reallocated,46747.0
ragi,maize,reallocated,17110.0
ragi,ragi,retained,13556.501886523925
ragi,rice,reallocated,9959.0
ragi,wheat,reallocated,277.4981134760742
rice,bajra,reallocated,99627.0
rice,jowar,reallocated,326556.0649327816
rice,maize,reallocated,1231701.4887022173
rice,ragi,reallocated,129716.3794781017
rice,rice,retained,1985590.6216102666
rice,wheat,reallocated,686360.4452766328
wheat,bajra,reallocated,545003.0
wheat,jowar,reallocated,844938.4488889438
wheat,maize,reallocated,1690116.2433764278
wheat,ragi,reallocated,2769.535597021064
wheat,rice,reallocated,420585.16770217963
wheat,wheat,retained,27228020.10443543
