season,source_crop,target_crop,flow_type,flow_ha
kharif,rice,maize,reallocated,11151357.340627197
kharif,rice,jowar,reallocated,4556825.66364043
kharif,rice,bajra,reallocated,3605769.857939755
kharif,maize,jowar,reallocated,2009489.2736107172
kharif,bajra,jowar,reallocated,1653798.1302212346
kharif,maize,bajra,reallocated,1284208.4693993926
kharif,maize,rice,reallocated,1134742.648909121
kharif,rice,ragi,reallocated,1088145.4034883277
kharif,bajra,maize,reallocated,866276.3412018347
kharif,jowar,bajra,reallocated,647093.3144010096
kharif,jowar,maize,reallocated,597862.5885173513
kharif,ragi,maize,reallocated,466538.7506947788
rabi,wheat,maize,reallocated,1690116.2433764278
rabi,rice,maize,reallocated,1231701.4887022173
rabi,wheat,jowar,reallocated,844938.4488889438
rabi,rice,wheat,reallocated,686360.4452766328
rabi,wheat,bajra,reallocated,545003.0
rabi,maize,jowar,reallocated,462045.78037246113
rabi,jowar,maize,reallocated,422828.15459505457
rabi,wheat,rice,reallocated,420585.16770217963
rabi,maize,wheat,reallocated,345512.3824053437
rabi,jowar,wheat,reallocated,339590.0
rabi,rice,jowar,reallocated,326556.0649327816
rabi,maize,rice,reallocated,171622.2
