season,retain_crop,gamma,nominal_substitution_pct,original_n_surplus,optimized_n_surplus,pct_reduction_n_surplus,baseline_retained_area,optimized_retained_area,realized_retained_share_pct,realized_staple_replacement_pct,solve_status,use_historical_caps,retention_level,cap_floor_repairs
kharif,rice,1.0,0.0,5287506520.162541,4684367572.214786,11.406869110190996,40085352.75,40611887.139508255,101.31353313214451,-1.313533132144521,Optimal,False,state,5
kharif,rice,0.9,9.999999999999998,5287506520.162541,4613465938.963274,12.747796690727238,40085352.75,39277555.767267816,97.98480759850072,2.015192401499284,Optimal,False,state,5
kharif,rice,0.8,19.999999999999996,5287506520.162541,4571849826.254834,13.534861681564555,40085352.75,38475074.167267814,95.98287535904949,4.0171246409505175,Optimal,False,state,5
kharif,rice,0.7,30.000000000000004,5287506520.162541,4545685037.3262615,14.029703415164317,40085352.75,37891566.945608005,94.52721342363142,5.472786576368584,Optimal,False,state,5
kharif,rice,0.6,40.0,5287506520.162541,4525810863.275123,14.405573855708528,40085352.75,37500546.31327876,93.55174331920718,6.448256680792819,Optimal,False,state,5
kharif,rice,0.5,50.0,5287506520.162541,4509367065.078293,14.716567291539302,40085352.75,37129055.81327876,92.62499458303697,7.375005416963039,Optimal,False,state,5
kharif,rice,0.4,60.0,5287506520.162541,4495004715.00881,14.98819532669568,40085352.75,36757565.31327876,91.69824584686674,8.30175415313326,Optimal,False,state,5
kharif,rice,0.3,70.0,5287506520.162541,4483680148.013688,15.202371270534966,40085352.75,36386074.81327876,90.77149711069652,9.22850288930348,Optimal,False,state,5
kharif,rice,0.2,80.0,5287506520.162541,4475333466.392406,15.360227938691375,40085352.75,36014584.31327876,89.84474837452629,10.155251625473705,Optimal,False,state,5
kharif,rice,0.1,90.0,5287506520.162541,4469469299.69577,15.47113402787112,40085352.75,35682117.31327876,89.01535065892305,10.984649341076942,Optimal,False,state,5
kharif,rice,0.0,100.0,5287506520.162541,4465809158.096568,15.540356478666125,40085352.75,35521490.31327876,88.61463820666704,11.38536179333296,Optimal,False,state,5
rabi,wheat,1.0,0.0,2997829060.776767,2800927049.5340223,6.5681533953682205,30731432.5,30789121.086693797,100.18771850838324,-0.1877185083832238,Optimal,False,state,8
rabi,wheat,0.9,9.999999999999998,2997829060.776767,2762913287.576314,7.836196408729984,30731432.5,29377104.036915187,95.5930187664216,4.4069812335784,Optimal,False,state,8
rabi,wheat,0.8,19.999999999999996,2997829060.776767,2749200060.327449,8.293635007490911,30731432.5,28922899.786915187,94.11503933933176,5.884960660668237,Optimal,False,state,8
rabi,wheat,0.7,30.000000000000004,2997829060.776767,2738785551.352894,8.641036702631496,30731432.5,28470111.598400183,92.64166777256538,7.358332227434621,Optimal,False,state,8
rabi,wheat,0.6,40.0,2997829060.776767,2729464514.202367,8.951962941638309,30731432.5,28017731.948400185,91.1696255890453,8.830374410954697,Optimal,False,state,8
rabi,wheat,0.5,50.0,2997829060.776767,2723046764.238251,9.166042858605046,30731432.5,27566813.298400182,89.70233749565755,10.297662504342464,Optimal,False,state,8
rabi,wheat,0.4,60.0,2997829060.776767,2719009130.1325994,9.300728126637162,30731432.5,27365996.848400183,89.04888129897681,10.951118701023184,Optimal,False,state,8
rabi,wheat,0.3,70.0,2997829060.776767,2715905326.2795506,9.40426317784,30731432.5,27259680.148400184,88.7029270386279,11.297072961372091,Optimal,False,state,8
rabi,wheat,0.2,80.0,2997829060.776767,2713387724.929197,9.488243995268643,30731432.5,27153363.448400185,88.35697277827899,11.643027221721004,Optimal,False,state,8
rabi,wheat,0.1,90.0,2997829060.776767,2711857865.597978,9.539276235606668,30731432.5,27047046.748400185,88.0110185179301,11.988981482069914,Optimal,False,state,8
rabi,wheat,0.0,100.0,2997829060.776767,2711491763.0656233,9.551488490706362,30731432.5,26999822.048400182,87.85734946914755,12.142650530852457,Optimal,False,state,8
