scenario_key,scenario_label,strategy,metric,baseline_total,optimized_total,pct_reduction,display_pct_change,solver_status,metric_key,direct_key_share,fallback_key_share,direct_area_share,fallback_area_share,benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Nitrogen Emission,287739236.80885214,236520874.46049374,17.80027045195203,-17.80027045195203,kharif:Optimal;rabi:Optimal,N_emission,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Nitrogen Emission,287739236.80885214,229643749.31836975,20.190325148139515,-20.190325148139515,kharif:Optimal;rabi:Optimal,N_emission,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Nitrogen Leach,2391590187.444786,1918103354.188839,19.797991969595266,-19.797991969595266,kharif:Optimal;rabi:Optimal,N_leach,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Nitrogen Leach,2391590187.444786,1852849788.3417368,22.5264513097308,-22.5264513097308,kharif:Optimal;rabi:Optimal,N_leach,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Greenhouse Gas emission,398546513.153932,300218963.5654304,24.671536782589836,-24.671536782589836,kharif:Optimal;rabi:Optimal,AGHG,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Greenhouse Gas emission,398546513.153932,240279871.50550175,39.71095880276899,-39.71095880276899,kharif:Optimal;rabi:Optimal,AGHG,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Profit,1215665645847.929,1259737472608.696,-3.6253246862155843,3.6253246862155843,kharif:Optimal;rabi:Optimal,profit,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Profit,550112782949.4415,648636912810.0696,-17.909805573393296,17.909805573393296,kharif:Optimal;rabi:Optimal,profit,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Calorie,955924593799921.0,1005461175546894.4,-5.1820595545156145,5.1820595545156145,kharif:Optimal;rabi:Optimal,Calorie,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Calorie,955924593799921.0,1013802155162894.0,-6.054615786471439,6.054615786471439,kharif:Optimal;rabi:Optimal,Calorie,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Phosphorus application,4580861940.3896265,4195422972.5525417,8.414114480042619,-8.414114480042619,kharif:Optimal;rabi:Optimal,P_applied,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Nitrogen based,Phosphorus application,4580861940.3896265,4071253831.419731,11.124720971759967,-11.124720971759967,kharif:Optimal;rabi:Optimal,P_applied,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Nitrogen based,Nitrogen application,12891996042.564434,11643599484.364758,9.683500941808772,-9.683500941808772,kharif:Optimal;rabi:Optimal,N_applied,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
