scenario_key,scenario_label,strategy,metric,baseline_total,optimized_total,pct_reduction,display_pct_change,solver_status,direct_key_share,fallback_key_share,direct_area_share,fallback_area_share
MSP,MSP baseline,Nitrogen based,Profit,550112782949.4415,648636912810.0697,-17.909805573393317,17.909805573393317,kharif:Optimal;rabi:Optimal,1.0,0.0,1.0,0.0
2013-14,Hybrid 2013-14,Nitrogen based,Profit,579470631520.2115,620098905427.4258,-7.011274031373779,7.011274031373779,kharif:Optimal;rabi:Optimal,0.9292367989388386,0.07076320106116143,0.9954419546495582,0.00455804535044179
2014-15,Hybrid 2014-15,Nitrogen based,Profit,828814827320.1837,907550444005.0344,-9.499783798442344,9.499783798442344,kharif:Optimal;rabi:Optimal,0.9353103424119771,0.064689657588023,0.997741133530289,0.0022588664697109242
2015-16,Hybrid 2015-16,Nitrogen based,Profit,1282506527923.9746,1364371978696.1414,-6.383238524694638,6.383238524694638,kharif:Optimal;rabi:Optimal,0.9392253312262947,0.060774668773705326,0.9997523826702848,0.0002476173297151864
2016-17,Hybrid 2016-17,Nitrogen based,Profit,958703637947.3298,1029227764069.1993,-7.356196777647362,7.356196777647362,kharif:Optimal;rabi:Optimal,0.9367853149595196,0.06321468504048043,0.999731696677506,0.0002683033224940464
2017-18,Hybrid 2017-18,Nitrogen based,Profit,1215665645847.929,1259737472608.6963,-3.6253246862156048,3.6253246862156048,kharif:Optimal;rabi:Optimal,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768
MSP,MSP baseline,Water based,Profit,550112782949.4415,639375126431.2944,-16.226189655741308,16.226189655741308,kharif:Optimal;rabi:Optimal,1.0,0.0,1.0,0.0
2013-14,Hybrid 2013-14,Water based,Profit,579470631520.2115,630886890446.7767,-8.872970626945712,8.872970626945712,kharif:Optimal;rabi:Optimal,0.9292367989388386,0.07076320106116143,0.9954419546495582,0.00455804535044179
2014-15,Hybrid 2014-15,Water based,Profit,828814827320.1837,871641858314.1519,-5.167261682858795,5.167261682858795,kharif:Optimal;rabi:Optimal,0.9353103424119771,0.064689657588023,0.997741133530289,0.0022588664697109242
2015-16,Hybrid 2015-16,Water based,Profit,1282506527923.9746,1343580988265.068,-4.762116918028968,4.762116918028968,kharif:Optimal;rabi:Optimal,0.9392253312262947,0.060774668773705326,0.9997523826702848,0.0002476173297151864
2016-17,Hybrid 2016-17,Water based,Profit,958703637947.3298,1081467998576.0795,-12.80524614380301,12.80524614380301,kharif:Optimal;rabi:Optimal,0.9367853149595196,0.06321468504048043,0.999731696677506,0.0002683033224940464
2017-18,Hybrid 2017-18,Water based,Profit,1215665645847.929,1257143973252.3582,-3.4119848287312577,3.4119848287312577,kharif:Optimal;rabi:Optimal,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768
