from,to,value
AP,HR,4327732500.0
AP,KA,50043240000.0
AP,KL,8652150000.0
AP,MH,4395690000.0
AP,PN,8214570000.0
AP,TN,270065370000.0
AP,UP,8691930000.0
AP,WB,43544182500.0
BR,AP,57056122500.0
BR,AS,58547320000.0
BR,CH,26463645000.0
BR,GJ,11446695000.0
BR,HR,32257160000.0
BR,KA,238432480000.0
BR,KL,32243900000.0
BR,MH,43262960000.0
BR,PN,87622080000.0
BR,TN,476427380000.0
BR,TE,16893240000.0
BR,UR,363047750000.0
BR,WB,25303395000.0
CH,AS,5850975000.0
CH,TN,2927145000.0
CH,WB,14618045000.0
GJ,AS,2448680000.0
GJ,HR,16929172333.333332
HR,KA,6059570000.0
HR,PN,30066276500.0
KA,AP,48226620000.0
KA,AS,6532760000.0
KA,BR,2861950000.0
KA,HR,5771415000.0
KA,KL,14685450000.0
KA,MH,17036890000.0
KA,OD,14201460000.0
KA,PN,5681910000.0
KA,RJ,2847585000.0
KA,TN,211553134000.0
KA,UR,8454355000.0
KA,WB,17605965000.0
MP,AP,5575830000.0
MP,AS,3717220000.0
MP,BR,68894429500.0
MP,CH,30144400000.0
MP,GJ,11728470000.0
MP,HR,109400525000.0
MP,KA,14119690000.0
MP,KL,2937090000.0
MP,PN,334741735000.0
MP,TN,181171800000.0
MP,TE,34810815000.0
MP,UP,2923830000.0
MP,UR,374529363000.0
MP,WB,67405994500.0
MH,AP,18822570000.0
MH,AS,5850975000.0
MH,BR,23711090000.0
MH,HR,39094900000.0
MH,KA,81739060000.0
MH,KL,5844345000.0
MH,PN,37132420000.0
MH,TN,204894625000.0
MH,TE,97321770000.0
MH,UR,123008600000.0
MH,WB,25031350000.0
OD,AS,5706220000.0
OD,TN,17433585000.0
OD,WB,90572430000.0
PN,KA,5867550000.0
PN,TN,2937090000.0
RJ,AP,1288980000.0
RJ,TN,26980374666.666664
TN,KL,2923830000.0
TE,TN,82898205000.0
UP,AS,29189600000.0
UP,BR,2306135000.0
UP,HR,28099045000.0
UP,KA,2831010000.0
UP,MH,33071545000.0
UP,TN,212814758333.3333
UP,TE,88311600000.0
UP,WB,30246700000.0
WB,AP,17577787500.0
WB,AS,2947035000.0
WB,BR,7245485000.0
WB,CH,5857605000.0
WB,GJ,2755870000.0
WB,KA,87655230000.0
WB,MH,22975160000.0
WB,PN,20472335000.0
WB,TN,155118795000.0
WB,TE,96135000000.0
WB,UR,29071445000.0
