season,iteration,metric,status,pct_reduction
kharif,0,Nitrogen Emission,Optimal,18.58221622051404
kharif,0,Nitrogen Leach,Optimal,13.694689960714356
kharif,0,Greenhouse Gas emission,Optimal,11.296395726589568
kharif,0,Net return,Optimal,-267.70513351910796
kharif,0,Calorie,Optimal,-1.7216493426175787
kharif,0,Phosphorus application,Optimal,12.592878139771786
kharif,0,Nitrogen application,Optimal,12.205084614613275
kharif,0,Phosphorus Surplus,Optimal,16.467220571881278
kharif,0,Nitrogen Surplus,Optimal,17.880678778107487
kharif,0,Water Demand,Optimal,21.92364356986903
kharif,1,Nitrogen Emission,Optimal,18.967600828870896
kharif,1,Nitrogen Leach,Optimal,14.727097778794784
kharif,1,Greenhouse Gas emission,Optimal,10.609897019131662
kharif,1,Net return,Optimal,-257.3924871740909
kharif,1,Calorie,Optimal,-1.313155763277291
kharif,1,Phosphorus application,Optimal,12.067997943994882
kharif,1,Nitrogen application,Optimal,12.742938805828109
kharif,1,Phosphorus Surplus,Optimal,15.757929532180231
kharif,1,Nitrogen Surplus,Optimal,18.476158335524612
kharif,1,Water Demand,Optimal,20.899212095640024
kharif,2,Nitrogen Emission,Optimal,19.441468192181947
kharif,2,Nitrogen Leach,Optimal,13.954337221455038
kharif,2,Greenhouse Gas emission,Optimal,11.378902440877171
kharif,2,Net return,Optimal,-251.24766502693492
kharif,2,Calorie,Optimal,-1.529334867813222
kharif,2,Phosphorus application,Optimal,14.769856348182463
kharif,2,Nitrogen application,Optimal,12.908560790305245
kharif,2,Phosphorus Surplus,Optimal,19.08636457387022
kharif,2,Nitrogen Surplus,Optimal,18.827357522906656
kharif,2,Water Demand,Optimal,23.252833314512984
kharif,3,Nitrogen Emission,Optimal,18.858863393946383
kharif,3,Nitrogen Leach,Optimal,13.94103233982568
kharif,3,Greenhouse Gas emission,Optimal,10.746973324709398
kharif,3,Net return,Optimal,-254.81114071719475
kharif,3,Calorie,Optimal,-1.4215662804025242
kharif,3,Phosphorus application,Optimal,13.641718652522616
kharif,3,Nitrogen application,Optimal,12.453921410734807
kharif,3,Phosphorus Surplus,Optimal,17.717117746282568
kharif,3,Nitrogen Surplus,Optimal,18.202279818117812
kharif,3,Water Demand,Optimal,22.009418975015144
kharif,4,Nitrogen Emission,Optimal,18.66824668769149
kharif,4,Nitrogen Leach,Optimal,13.465594380755874
kharif,4,Greenhouse Gas emission,Optimal,9.401521898547212
kharif,4,Net return,Optimal,-290.6090949254443
kharif,4,Calorie,Optimal,-1.3325191298751586
kharif,4,Phosphorus application,Optimal,12.761259511538997
kharif,4,Nitrogen application,Optimal,12.4474227990221
kharif,4,Phosphorus Surplus,Optimal,16.48175050276277
kharif,4,Nitrogen Surplus,Optimal,18.008276319742638
kharif,4,Water Demand,Optimal,20.86870992012534
kharif,5,Nitrogen Emission,Optimal,17.724629510757982
kharif,5,Nitrogen Leach,Optimal,13.132831362470409
kharif,5,Greenhouse Gas emission,Optimal,11.76758882541103
kharif,5,Net return,Optimal,-199.1481093422447
kharif,5,Calorie,Optimal,-1.6154241832751095
kharif,5,Phosphorus application,Optimal,12.393290470816133
kharif,5,Nitrogen application,Optimal,11.569815608806897
kharif,5,Phosphorus Surplus,Optimal,16.284667621392874
kharif,5,Nitrogen Surplus,Optimal,17.15256341592608
kharif,5,Water Demand,Optimal,21.637174027325084
kharif,6,Nitrogen Emission,Optimal,17.85420141249173
kharif,6,Nitrogen Leach,Optimal,13.883033625656761
kharif,6,Greenhouse Gas emission,Optimal,10.832060556234008
kharif,6,Net return,Optimal,-219.2549261640395
kharif,6,Calorie,Optimal,-1.4257755505539682
kharif,6,Phosphorus application,Optimal,14.124289318838224
kharif,6,Nitrogen application,Optimal,11.850081712570482
kharif,6,Phosphorus Surplus,Optimal,18.294467465134616
kharif,6,Nitrogen Surplus,Optimal,17.358536566666203
kharif,6,Water Demand,Optimal,24.549437572323903
kharif,7,Nitrogen Emission,Optimal,17.489364361653497
kharif,7,Nitrogen Leach,Optimal,12.153707445854412
kharif,7,Greenhouse Gas emission,Optimal,10.381811599784061
kharif,7,Net return,Optimal,-218.0502381390693
kharif,7,Calorie,Optimal,-1.5396911547045444
kharif,7,Phosphorus application,Optimal,15.217142272548445
kharif,7,Nitrogen application,Optimal,11.53033873374733
kharif,7,Phosphorus Surplus,Optimal,19.52229562232432
kharif,7,Nitrogen Surplus,Optimal,16.99539012557251
kharif,7,Water Demand,Optimal,19.194627508790084
kharif,8,Nitrogen Emission,Optimal,17.640076725270106
kharif,8,Nitrogen Leach,Optimal,12.374916629528109
kharif,8,Greenhouse Gas emission,Optimal,10.569159891733362
kharif,8,Net return,Optimal,-239.04537315725133
kharif,8,Calorie,Optimal,-1.6393696694529027
kharif,8,Phosphorus application,Optimal,12.792737576034863
kharif,8,Nitrogen application,Optimal,11.544062466123146
kharif,8,Phosphorus Surplus,Optimal,16.694975676408223
kharif,8,Nitrogen Surplus,Optimal,16.961662197719615
kharif,8,Water Demand,Optimal,22.86582707442894
kharif,9,Nitrogen Emission,Optimal,18.53162244516507
kharif,9,Nitrogen Leach,Optimal,13.437879973873661
kharif,9,Greenhouse Gas emission,Optimal,10.414036959189538
kharif,9,Net return,Optimal,-219.21938513352563
kharif,9,Calorie,Optimal,-1.7018913558948479
kharif,9,Phosphorus application,Optimal,13.36820004550423
kharif,9,Nitrogen application,Optimal,12.2428071114806
kharif,9,Phosphorus Surplus,Optimal,17.394286166835762
kharif,9,Nitrogen Surplus,Optimal,17.906554683926544
kharif,9,Water Demand,Optimal,18.65225972103765
kharif,10,Nitrogen Emission,Optimal,15.976342726261256
kharif,10,Nitrogen Leach,Optimal,10.94831786181287
kharif,10,Greenhouse Gas emission,Optimal,11.509350323694493
kharif,10,Net return,Optimal,-197.56048031360064
kharif,10,Calorie,Optimal,-1.6395512010468616
kharif,10,Phosphorus application,Optimal,11.993967422673538
kharif,10,Nitrogen application,Optimal,10.296202930806611
kharif,10,Phosphorus Surplus,Optimal,15.780042457906696
kharif,10,Nitrogen Surplus,Optimal,15.396610012223245
kharif,10,Water Demand,Optimal,24.874689460459816
kharif,11,Nitrogen Emission,Optimal,17.334678634375475
kharif,11,Nitrogen Leach,Optimal,13.1299422324356
kharif,11,Greenhouse Gas emission,Optimal,11.497352922799001
kharif,11,Net return,Optimal,-235.14732847178925
kharif,11,Calorie,Optimal,-1.498369079883468
kharif,11,Phosphorus application,Optimal,13.715225484381824
