source_endpoint,crop_name,state_name,agriculture_year,year_code,season_name,production_tonnes
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2011 - 2012,2011,Kharif,44984.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2011 - 2012,2011,Rabi,4994.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2011 - 2012,2011,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2011 - 2012,2011,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2012 - 2013,2012,Kharif,95000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2012 - 2013,2012,Rabi,4000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2012 - 2013,2012,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2012 - 2013,2012,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2013 - 2014,2013,Kharif,76976.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2013 - 2014,2013,Rabi,3791.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2013 - 2014,2013,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2013 - 2014,2013,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2014 - 2015,2014,Kharif,30463.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2014 - 2015,2014,Rabi,6190.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2014 - 2015,2014,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2014 - 2015,2014,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2015 - 2016,2015,Kharif,58028.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2015 - 2016,2015,Rabi,5782.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2015 - 2016,2015,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2015 - 2016,2015,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2016 - 2017,2016,Kharif,66982.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2016 - 2017,2016,Rabi,3787.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2016 - 2017,2016,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2016 - 2017,2016,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2017 - 2018,2017,Kharif,82397.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2017 - 2018,2017,Rabi,9480.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2017 - 2018,2017,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Andhra Pradesh,2017 - 2018,2017,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2011 - 2012,2011,Kharif,4805.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2011 - 2012,2011,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2011 - 2012,2011,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2011 - 2012,2011,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2012 - 2013,2012,Kharif,4635.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2012 - 2013,2012,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2012 - 2013,2012,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2012 - 2013,2012,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2013 - 2014,2013,Kharif,2167.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Bihar,2013 - 2014,2013,Rabi,0.0
