crop_name,year,msp_rs_per_quintal,source_note
Rice,2013-14,1310,DES Agricultural Statistics at a Glance 2017 Table 8.1 Paddy Common
Rice,2014-15,1360,DES Agricultural Statistics at a Glance 2017 Table 8.1 Paddy Common
Rice,2015-16,1410,DES Agricultural Statistics at a Glance 2017 Table 8.1 Paddy Common
Rice,2016-17,1470,DES Agricultural Statistics at a Glance 2017 Table 8.1 Paddy Common
Rice,2017-18,1550,DES Agricultural Statistics at a Glance 2017 Table 8.1 Paddy Common
Wheat,2013-14,1400,DES Agricultural Statistics at a Glance 2017 Table 8.1 Wheat
Wheat,2014-15,1450,DES Agricultural Statistics at a Glance 2017 Table 8.1 Wheat
Wheat,2015-16,1525,DES Agricultural Statistics at a Glance 2017 Table 8.1 Wheat
Wheat,2016-17,1625,DES Agricultural Statistics at a Glance 2017 Table 8.1 Wheat
Wheat,2017-18,1735,DES Agricultural Statistics at a Glance 2017 Table 8.1 Wheat
Jowar,2013-14,1500,DES Agricultural Statistics at a Glance 2017 Table 8.1 Jowar Hybrid
Jowar,2014-15,1530,DES Agricultural Statistics at a Glance 2017 Table 8.1 Jowar Hybrid
Jowar,2015-16,1570,DES Agricultural Statistics at a Glance 2017 Table 8.1 Jowar Hybrid
Jowar,2016-17,1625,DES Agricultural Statistics at a Glance 2017 Table 8.1 Jowar Hybrid
Jowar,2017-18,1700,DES Agricultural Statistics at a Glance 2017 Table 8.1 Jowar Hybrid
Bajra,2013-14,1250,DES Agricultural Statistics at a Glance 2017 Table 8.1 Bajra
Bajra,2014-15,1250,DES Agricultural Statistics at a Glance 2017 Table 8.1 Bajra
Bajra,2015-16,1275,DES Agricultural Statistics at a Glance 2017 Table 8.1 Bajra
Bajra,2016-17,1330,DES Agricultural Statistics at a Glance 2017 Table 8.1 Bajra
Bajra,2017-18,1425,DES Agricultural Statistics at a Glance 2017 Table 8.1 Bajra
Maize,2013-14,1310,DES Agricultural Statistics at a Glance 2017 Table 8.1 Maize
Maize,2014-15,1310,DES Agricultural Statistics at a Glance 2017 Table 8.1 Maize
Maize,2015-16,1325,DES Agricultural Statistics at a Glance 2017 Table 8.1 Maize
Maize,2016-17,1365,DES Agricultural Statistics at a Glance 2017 Table 8.1 Maize
Maize,2017-18,1425,DES Agricultural Statistics at a Glance 2017 Table 8.1 Maize
Ragi,2013-14,1500,DES Agricultural Statistics at a Glance 2017 Table 8.1 Ragi
Ragi,2014-15,1550,DES Agricultural Statistics at a Glance 2017 Table 8.1 Ragi
Ragi,2015-16,1650,DES Agricultural Statistics at a Glance 2017 Table 8.1 Ragi
Ragi,2016-17,1725,DES Agricultural Statistics at a Glance 2017 Table 8.1 Ragi
Ragi,2017-18,1900,DES Agricultural Statistics at a Glance 2017 Table 8.1 Ragi
