crop_name,year,value_output_inr,production_tonnes_sum_of_states,unit_price_inr_per_tonne,unit_price_inr_per_kg,note
Bajra,2011-12,99396400000.0,12359840.0,8041.884037333816,8.041884037333816,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Bajra,2012-13,108582100000.0,8758962.8,12396.68468508623,12.39668468508623,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Bajra,2013-14,118068900000.0,9908957.0,11915.371113226145,11.915371113226145,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Bajra,2014-15,113454500000.0,9396791.9,12073.748275728018,12.073748275728018,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Bajra,2015-16,112970100000.0,7788565.0,14504.610284436221,14.504610284436222,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Bajra,2016-17,144192200000.0,9752303.8,14785.449977470964,14.785449977470964,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Bajra,2017-18,119211600000.0,9259820.0,12874.073146130271,12.874073146130272,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Jowar,2011-12,98065700000.0,5696189.0,17216.01934205484,17.21601934205484,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Jowar,2012-13,81329400000.0,5342593.0,15222.832807964223,15.222832807964224,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Jowar,2013-14,90733100000.0,6220888.0,14585.232847786361,14.585232847786362,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Jowar,2014-15,99165400000.0,5709234.0,17369.3003299567,17.369300329956697,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Jowar,2015-16,78115800000.0,3860461.0,20234.83723835055,20.234837238350547,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Jowar,2016-17,87756400000.0,4957103.0,17703.162512459396,17.703162512459397,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Jowar,2017-18,93569700000.0,5778028.0,16194.054442103776,16.194054442103777,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Maize,2011-12,235392900000.0,22124092.6,10639.663477091033,10.639663477091034,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Maize,2012-13,279521200000.0,23257685.0,12018.444656035199,12.018444656035198,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Maize,2013-14,318753300000.0,26173387.1,12178.526943499795,12.178526943499795,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Maize,2014-15,311820400000.0,24815396.6,12565.602114938594,12.565602114938594,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Maize,2015-16,329198600000.0,22620315.1,14553.22786374448,14.55322786374448,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Maize,2016-17,391143300000.0,27503641.9,14221.509334005692,14.221509334005692,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Maize,2017-18,415313300000.0,33007969.900000002,12582.212758258725,12.582212758258725,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Ragi,2011-12,20146500000.0,1768064.0,11394.666708897415,11.394666708897416,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Ragi,2012-13,24546000000.0,1533739.2,16004.024673816775,16.004024673816776,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Ragi,2013-14,33816900000.0,2026676.4,16685.890258553365,16.685890258553364,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Ragi,2014-15,34380200000.0,2024711.1,16980.299065876607,16.980299065876608,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Ragi,2015-16,30396100000.0,1810754.1,16786.431686113538,16.786431686113538,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Ragi,2016-17,31744200000.0,981113.2,32355.287850576264,32.35528785057626,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Ragi,2017-18,49335300000.0,2235219.4000000004,22071.79304188215,22.07179304188215,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Rice,2011-12,1705949600000.0,105014884.89,16244.83616572005,16.24483616572005,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Rice,2012-13,1982656700000.0,107584955.89,18428.75412829246,18.42875412829246,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Rice,2013-14,2206354400000.0,111321785.33,19819.610271785783,19.819610271785784,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Rice,2014-15,2266436000000.0,114694846.41000001,19760.57400084189,19.760574000841892,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Rice,2015-16,2281813500000.0,101762227.77000001,22422.99082875119,22.42299082875119,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Rice,2016-17,2506016100000.0,118891136.83,21078.241547839694,21.078241547839696,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Rice,2017-18,2745563700000.0,118131499.57,23241.588483968146,23.241588483968147,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Wheat,2011-12,1180681900000.0,103084217.2,11453.566143004091,11.45356614300409,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Wheat,2012-13,1317101400000.0,100112036.3,13156.274197171635,13.156274197171635,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Wheat,2013-14,1425613000000.0,103023595.0,13837.732996989671,13.83773299698967,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Wheat,2014-15,1290114500000.0,84927641.0,15190.749263835081,15.190749263835082,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Wheat,2015-16,1459387200000.0,94441009.9,15452.897015240409,15.452897015240408,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Wheat,2016-17,1655261500000.0,113515719.4,14581.782230241497,14.581782230241497,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
Wheat,2017-18,1779449700000.0,111604139.0,15944.298445777176,15.944298445777177,"Production is the sum of matched DES state-year totals, not a separately fetched all-India series."
