crop_name,year,mospi_state_ut,des_state_name,production_tonnes_total,value_output_inr_lakh,value_output_inr,unit_price_inr_per_tonne,unit_price_inr_per_kg,join_status,value_source,production_source
Bajra,2011-12,A & N Islands,,,0.0,0.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Andhra Pradesh,Andhra Pradesh,49978.0,5427.0,542700000.0,10858.777862259394,10.858777862259394,matched,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Arunachal Pradesh,,,0.0,0.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Assam,,,0.0,0.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Bihar,Bihar,4805.0,703.0,70300000.0,14630.593132154007,14.630593132154006,matched,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Chandigarh,,,0.0,0.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Chhattisgarh,Chhattisgarh,0.0,6.0,600000.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Dadra & Nagar Haveli,,,0.0,0.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Daman & Diu,,,47.0,4700000.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Delhi,Delhi,2689.0,464.0,46400000.0,17255.48531052436,17.25548531052436,matched,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Goa,,,0.0,0.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Gujarat,Gujarat,1610200.0,145298.0,14529800000.0,9023.599552850577,9.023599552850577,matched,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Haryana,Haryana,1175000.0,113946.0,11394600000.0,9697.531914893618,9.697531914893618,matched,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
Bajra,2011-12,Himachal Pradesh,Himachal Pradesh,0.0,13.0,1300000.0,,,missing_or_zero_production,MoSPI current-price state value of output,DES APY state-year production aggregated from district-year-season report
