Crop,State,Year,Output_lakh,Production_tonne,rupee_per_kg,match_status,MSP_rs_per_kg,diff_rs_per_kg,pct_diff_from_msp
Rice,Andhra Pradesh,2014-15,1177679,7233930.0,16.279933590731456,both,15.7,0.5799335907314571,3.693844526951956
Rice,Arunachal Pradesh,2014-15,37050,285000.0,13.0,both,15.7,-2.6999999999999993,-17.197452229299362
Rice,Assam,2014-15,691286,5222650.0,13.236307238662365,both,15.7,-2.4636927613376347,-15.692310581768375
Rice,Bihar,2014-15,955375,6356730.0,15.029346849716758,both,15.7,-0.6706531502832416,-4.271676116453769
Rice,Chhattisgarh,2014-15,1018094,6322110.0,16.10370588300425,both,15.7,0.4037058830042497,2.5713750509824824
Rice,Goa,2014-15,17172,120510.0,14.24943988050784,both,15.7,-1.4505601194921596,-9.239236429886367
Rice,Gujarat,2014-15,287042,1830900.0,15.677644874105631,both,15.7,-0.022355125894367944,-0.1423893369068022
Rice,Haryana,2014-15,911473,4006000.0,22.7526959560659,both,15.7,7.0526959560659,44.92163029341338
Rice,Himachal Pradesh,2014-15,19263,125220.0,15.383325347388595,both,15.7,-0.31667465261140393,-2.0170360038942925
Rice,Jammu & Kashmir,2014-15,66212,517230.0,12.801268294569148,both,15.7,-2.8987317054308512,-18.4632592702602
Rice,Jharkhand,2014-15,454465,3361870.0,13.518220514178122,both,15.7,-2.1817794858218775,-13.896684623069284
Rice,Karnataka,2014-15,608189,3541000.0,17.17562835357244,both,15.7,1.4756283535724393,9.39890671065248
Rice,Kerala,2014-15,95285,562100.0,16.951610033801813,both,15.7,1.2516100338018141,7.972038431858689
Rice,Madhya Pradesh,2014-15,639782,3625300.0,17.64769812153477,both,15.7,1.9476981215347706,12.40572051932975
Rice,Maharashtra,2014-15,580244,2946000.0,19.695994568906997,both,15.7,3.9959945689069976,25.452194706413998
Rice,Manipur,2014-15,51369,334110.0,15.374876537667236,both,15.7,-0.3251234623327637,-2.070850078552635
Rice,Meghalaya,2014-15,53343,298240.0,17.885930793991417,both,15.7,2.1859307939914174,13.923126076378455
Rice,Mizoram,2014-15,10676,60670.0,17.596835338717653,both,15.7,1.8968353387176542,12.081753749793975
Rice,Nagaland,2014-15,77212,454190.0,16.999933948347607,both,15.7,1.2999339483476078,8.27983406590833
Rice,Odisha,2014-15,1319051,8298210.0,15.895608812020903,both,15.7,0.19560881202090386,1.2459160001331457
Rice,Punjab,2014-15,1850890,11107000.0,16.66417574502566,both,15.7,0.9641757450256598,6.141246783602929
Rice,Rajasthan,2014-15,77371,366680.0,21.100414530380714,both,15.7,5.400414530380715,34.397544779495
Rice,Sikkim,2014-15,4483,20070.0,22.336821126058798,both,15.7,6.636821126058798,42.27274602585222
Rice,Tamil Nadu,2014-15,886022,5727810.0,15.468774278476417,both,15.7,-0.23122572152358245,-1.4727752963285508
Rice,Telangana,2014-15,717302,4440800.0,16.15254008286795,both,15.7,0.45254008286795155,2.8824209099869527
Rice,Tripura,2014-15,111191,746950.0,14.8860030791887,both,15.7,-0.8139969208112987,-5.1846937631292915
Rice,Uttar Pradesh,2014-15,1993633,12167940.0,16.3843099160581,both,15.7,0.6843099160581012,4.35866188572039
Rice,Uttarakhand,2014-15,96910,603690.0,16.052941079030628,both,15.7,0.35294107903062866,2.2480323505135584
Rice,West Bengal,2014-15,2199542,14677240.0,14.986073675977227,both,15.7,-0.713926324022772,-4.547301426896637
Rice,A & N Islands,2014-15,1968,13120.0,15.0,both,15.7,-0.6999999999999993,-4.458598726114645
